1004_at,10439_at,10788_at,10855_at,11098_at,13_at,1728_at,1780_at,202374_at,22835_at,2919_at,341_at,3676_at,389421_at,4050_at,4734_at,4879_at,51186_at,5142_at,51599_at,5176_at,5321_at,55510_at,57194_at,57464_at,6275_at,6876_at,7852_at,83871_at,9071_at,label
3.96,7.37,5.54,6.04,10.20,4.11,12.03,3.92,4.06,8.20,4.19,6.78,3.67,3.98,4.27,8.20,3.87,10.70,4.16,9.77,4.78,11.40,3.48,4.61,7.46,10.04,4.52,4.24,10.11,4.02,1.00
4.02,6.21,4.52,7.20,10.18,6.87,12.42,4.65,3.46,4.95,8.45,10.33,3.67,3.41,6.58,7.54,4.43,11.17,8.85,9.28,5.03,8.31,3.71,4.43,7.77,9.38,8.35,4.17,10.75,4.60,1.00
3.93,7.06,4.84,6.09,12.11,4.12,11.35,4.92,3.49,7.26,5.45,7.45,3.99,3.69,6.20,7.12,4.04,10.31,4.42,10.42,7.29,3.56,5.51,4.29,6.10,10.19,7.92,4.27,4.06,4.34,0.00
3.81,3.94,4.47,7.93,9.52,4.18,9.67,4.54,7.09,8.09,10.42,6.50,3.78,4.14,9.76,7.43,4.20,11.38,4.44,10.54,4.68,6.68,8.14,9.33,7.95,6.49,8.79,4.33,10.53,4.23,0.00
3.67,3.92,4.09,7.85,11.42,3.84,11.34,4.69,3.39,6.40,6.14,9.82,4.29,6.80,5.84,6.91,3.76,11.89,7.06,9.89,4.47,7.54,8.45,4.06,6.18,12.63,8.35,3.91,10.60,5.92,1.00
4.24,4.12,4.36,7.42,11.60,3.95,12.12,4.69,3.58,4.90,4.04,5.05,3.81,4.02,5.64,7.82,5.35,4.07,4.14,9.51,4.78,3.45,3.88,4.30,6.84,7.12,8.50,4.33,11.08,4.52,1.00
3.84,3.89,4.59,7.59,11.84,4.00,8.16,5.25,3.48,4.85,4.20,4.71,3.65,3.79,4.53,6.81,7.57,11.90,4.62,7.88,4.55,3.52,3.74,4.17,7.29,6.42,5.37,5.62,9.99,4.19,0.00
3.94,3.99,9.97,6.95,7.17,3.77,7.06,6.56,3.85,7.45,4.50,10.26,10.99,11.53,7.10,8.35,4.01,11.54,4.93,4.61,5.71,9.67,3.98,4.37,5.80,12.20,4.85,6.37,10.83,8.20,0.00
3.82,4.02,11.05,4.18,4.89,5.60,12.64,4.39,3.15,8.25,4.51,13.64,3.70,10.88,5.03,7.38,4.52,10.60,4.30,9.15,12.93,3.86,3.78,5.01,5.64,8.20,9.20,4.24,4.83,4.22,1.00
4.10,4.57,4.97,5.07,4.66,3.93,6.84,4.45,3.65,5.68,4.84,5.46,6.36,4.03,4.34,3.58,4.29,4.35,4.32,4.29,4.83,4.39,3.84,4.75,6.14,12.53,5.05,11.59,4.31,3.96,0.00
3.82,3.85,4.67,5.58,13.27,3.69,11.23,4.71,3.97,6.25,4.68,8.89,4.12,9.51,4.99,10.19,5.14,12.15,4.27,4.22,4.87,5.01,3.66,8.73,4.72,7.78,5.47,4.15,10.62,4.44,0.00
3.74,3.96,5.48,7.59,5.28,8.89,11.75,6.53,3.94,7.80,4.13,7.39,4.66,5.22,4.17,7.61,3.90,12.40,4.83,4.92,4.01,8.63,3.64,4.43,6.76,7.92,5.14,8.33,11.11,3.91,1.00
8.31,4.10,6.39,6.78,11.79,4.09,12.05,4.89,3.51,7.59,4.56,5.90,8.06,4.14,4.11,8.66,3.89,12.32,6.80,5.55,4.47,8.61,3.91,4.48,8.43,7.29,9.75,4.05,11.25,4.09,1.00
9.08,6.09,4.42,4.70,12.11,4.34,11.42,6.85,3.53,7.57,5.25,5.19,7.56,3.83,4.67,7.35,4.06,12.24,5.50,5.26,9.51,6.18,5.25,8.33,5.85,11.68,13.93,4.28,11.20,4.18,0.00
7.17,5.30,5.07,4.50,10.99,4.01,11.98,4.73,3.69,7.46,5.97,5.73,8.26,3.85,4.72,8.35,4.01,12.38,6.56,6.06,9.63,5.80,4.57,8.15,6.11,13.68,13.41,4.08,11.33,4.08,1.00
5.94,3.96,9.61,6.33,9.56,3.96,12.35,7.15,3.48,7.62,7.49,5.76,3.89,3.90,4.18,7.53,3.81,13.00,8.12,4.25,7.81,9.76,3.43,4.53,6.04,14.15,4.64,4.06,9.91,4.17,1.00
5.27,4.16,4.80,7.03,11.81,3.86,13.14,8.90,3.76,7.52,9.82,7.75,9.82,4.49,4.25,7.59,4.02,11.88,6.74,5.01,4.33,10.03,3.86,6.86,7.76,13.06,9.95,4.13,9.66,4.01,1.00
3.95,4.19,4.34,6.82,11.75,3.72,10.35,6.32,3.79,7.74,4.57,8.74,3.99,7.23,4.56,7.55,6.53,11.18,4.29,7.31,4.61,7.36,3.81,4.62,6.91,7.88,5.47,4.21,4.72,3.87,0.00
4.02,3.96,5.68,5.97,12.44,3.90,12.57,7.22,4.96,7.53,10.69,6.53,9.29,3.84,4.49,7.92,4.10,11.36,6.21,7.38,5.54,8.56,7.03,5.07,7.57,12.12,6.78,3.81,11.09,4.04,1.00
4.13,3.89,9.23,5.77,7.51,7.22,12.45,5.97,3.73,4.81,5.85,6.87,3.89,4.19,4.70,6.44,4.41,10.81,4.22,10.81,4.39,9.21,3.68,4.88,5.62,12.87,6.34,8.99,4.38,4.25,1.00
