1004_at,10855_at,11098_at,13_at,1728_at,202374_at,22835_at,4734_at,4879_at,51186_at,5176_at,5321_at,6876_at,9071_at,label
4.06,8.00,9.90,7.05,12.76,3.69,5.80,9.19,4.31,4.11,8.72,8.67,4.96,4.10,1.00
4.10,5.25,4.74,3.95,10.17,3.84,5.05,6.93,4.13,8.65,4.60,8.94,6.05,4.20,1.00
4.70,8.15,11.95,4.21,13.39,3.42,8.64,8.21,4.72,11.86,4.23,7.95,6.17,3.89,1.00
3.95,6.00,11.96,3.94,8.35,3.39,9.51,6.37,8.27,11.82,4.85,3.66,10.22,3.93,0.00
3.88,8.50,8.50,4.69,12.51,3.50,5.23,7.48,3.91,11.04,5.32,7.78,4.99,4.08,1.00
4.12,6.81,10.81,8.63,11.66,4.17,4.95,6.97,4.97,8.89,6.10,10.02,6.09,4.00,1.00
3.96,6.43,8.58,3.74,12.70,3.34,8.06,9.88,4.14,11.83,7.86,6.30,4.86,4.50,1.00
3.91,6.20,11.47,3.96,11.53,3.58,8.19,7.77,3.93,3.88,4.91,4.02,4.51,4.27,0.00
5.53,6.83,10.74,3.73,10.00,3.40,9.70,7.73,4.06,11.24,6.21,3.50,8.48,8.40,0.00
3.71,5.58,9.57,3.71,11.72,3.70,7.49,8.81,4.17,12.12,5.08,10.43,4.65,4.23,0.00
3.92,5.15,9.12,3.68,12.64,3.24,8.75,7.82,4.39,3.97,4.25,3.87,5.28,4.06,1.00
3.94,5.93,8.08,3.80,12.20,5.69,7.25,6.61,4.19,10.87,6.26,5.65,4.90,4.28,0.00
4.46,6.96,4.53,3.92,13.32,3.58,5.68,7.74,4.16,11.42,10.94,3.41,5.72,4.65,1.00
4.01,6.06,8.47,3.94,11.95,6.61,8.43,8.27,3.91,11.97,4.71,9.19,4.89,4.42,0.00
6.81,8.18,8.05,4.07,10.74,3.31,8.76,4.91,4.53,11.80,5.08,8.56,7.41,4.07,0.00
9.48,5.20,8.84,3.88,10.32,3.52,8.80,6.59,3.73,11.78,6.06,9.22,4.98,4.25,0.00
3.99,6.39,4.93,3.78,9.06,3.24,8.77,7.59,3.60,11.46,11.45,6.01,6.66,4.00,1.00
3.91,5.10,8.48,3.68,13.00,3.51,8.77,6.85,3.99,10.77,8.27,3.57,5.78,3.98,1.00
3.88,4.95,4.54,4.10,7.66,3.30,7.85,3.81,4.07,3.81,9.15,4.09,5.12,4.26,1.00
4.14,8.50,4.76,3.74,8.35,3.32,8.19,5.76,4.14,4.48,4.55,10.64,4.97,4.51,1.00
3.88,6.40,8.78,8.96,12.42,3.39,7.22,5.94,3.91,10.62,4.38,8.74,5.30,4.26,1.00
4.16,5.13,10.16,3.54,11.91,3.66,8.57,7.88,4.30,12.47,4.39,4.49,13.31,3.89,0.00
3.85,5.78,4.42,3.75,8.72,3.74,6.47,4.29,4.32,4.21,9.37,9.56,5.33,4.73,1.00
3.83,8.51,9.76,3.91,10.23,3.49,8.94,7.21,3.83,11.91,9.11,11.85,6.52,4.23,1.00
3.82,5.92,6.53,3.59,6.58,4.79,9.67,6.70,4.12,11.41,4.85,3.89,4.40,6.35,0.00
3.91,5.98,9.33,3.94,12.57,3.41,7.97,9.34,3.91,11.85,5.98,8.87,6.13,4.16,1.00
4.02,8.11,4.87,4.01,11.85,3.91,8.16,7.33,4.22,10.13,5.62,4.87,5.34,4.17,1.00
3.82,6.96,9.62,3.76,11.43,4.07,7.95,9.43,4.29,13.09,4.46,4.35,5.82,4.09,0.00
5.52,4.66,4.64,4.00,10.82,3.44,8.58,6.73,3.75,11.96,7.02,3.73,5.81,4.31,0.00
6.97,6.02,11.69,7.02,12.09,3.62,8.15,6.93,4.45,11.46,7.07,6.35,4.65,8.15,0.00
3.79,8.92,10.98,3.85,12.43,3.48,8.71,8.40,4.09,11.81,4.27,3.36,4.97,3.97,1.00
3.80,5.70,9.60,5.18,11.94,3.61,7.21,8.54,4.06,11.38,6.21,8.07,6.79,3.95,1.00
3.95,8.75,11.50,3.81,9.82,3.62,9.83,7.50,4.38,11.19,4.62,8.76,11.40,4.90,0.00
3.86,7.22,5.37,3.77,6.78,3.42,9.63,6.52,4.11,12.41,4.44,3.33,4.63,3.99,0.00
3.72,5.40,6.27,3.98,12.93,3.47,8.73,10.24,4.11,11.96,4.42,4.07,5.07,4.28,1.00
4.04,6.80,11.31,10.02,12.91,4.25,4.82,8.48,3.91,11.00,4.15,9.91,4.65,8.25,1.00
3.94,8.33,12.36,3.75,13.51,6.17,8.59,8.69,4.25,11.72,4.75,8.58,4.41,4.15,0.00
4.01,5.07,10.88,8.75,12.22,5.10,5.51,9.45,3.98,12.28,4.64,5.24,5.63,4.16,1.00
3.92,9.00,9.29,4.94,13.05,3.44,8.63,7.55,4.03,10.26,4.50,10.37,7.45,5.05,1.00
3.90,8.66,10.15,9.26,13.38,3.47,4.85,9.27,4.03,12.12,4.19,8.46,8.30,4.07,1.00
3.93,8.30,12.88,4.06,5.26,3.92,7.57,8.09,9.13,10.70,4.65,7.19,11.30,4.83,0.00
3.79,5.66,11.79,8.98,13.15,3.65,5.41,7.54,4.41,10.18,4.64,11.35,4.36,4.22,1.00
4.15,6.43,8.26,3.96,13.60,3.71,8.68,6.82,3.85,10.13,4.59,9.70,6.84,10.86,1.00
3.96,6.20,11.26,3.58,13.26,3.71,10.68,7.36,4.74,12.53,4.65,8.46,10.37,3.92,0.00
4.87,6.13,12.99,4.45,11.21,3.46,7.20,9.15,12.52,11.46,4.32,3.88,10.49,4.13,0.00
4.07,7.99,9.04,4.07,12.00,3.78,5.21,10.31,4.30,11.53,4.09,3.52,6.86,5.59,1.00
4.89,6.63,9.15,4.56,9.97,3.72,7.72,7.95,6.14,11.45,4.54,9.40,4.63,10.42,0.00
3.74,6.95,10.78,7.82,13.23,3.42,8.07,8.45,4.10,12.41,4.27,11.12,4.12,4.16,1.00
11.15,8.30,11.77,3.86,10.27,3.25,10.29,8.20,4.50,12.97,6.39,3.35,6.54,5.38,0.00
6.56,6.60,11.06,3.79,12.06,4.01,8.53,5.72,6.75,11.12,8.96,3.28,5.57,4.30,0.00
4.04,7.02,5.01,4.03,9.11,4.15,7.56,4.82,4.09,10.58,5.04,3.66,4.74,3.95,0.00
3.75,6.85,10.70,3.82,12.58,3.54,4.68,7.31,4.11,3.62,4.55,8.59,5.26,4.14,1.00
4.05,6.28,5.22,4.70,6.60,3.38,8.38,7.62,4.16,7.40,10.73,8.46,4.83,7.82,1.00
4.08,6.61,7.24,8.81,12.23,4.56,4.85,6.98,4.39,10.23,4.56,5.48,4.92,5.08,1.00
3.93,7.42,4.53,3.95,7.70,3.49,5.19,5.89,3.95,3.89,9.11,9.07,6.65,4.04,1.00
4.24,4.78,4.42,4.45,9.10,3.72,8.70,4.35,4.09,10.31,7.28,3.74,4.63,4.41,0.00
4.04,6.86,10.89,4.49,12.71,3.58,5.16,6.04,4.34,5.42,7.54,3.68,6.55,4.07,1.00
3.91,7.53,10.26,8.20,10.56,3.79,5.07,6.62,3.96,11.19,4.45,7.08,4.66,4.22,1.00
4.31,6.10,10.86,8.63,9.54,6.44,8.07,5.96,3.96,11.48,9.27,8.99,4.62,4.08,0.00
9.59,9.97,9.91,9.64,12.80,3.48,7.63,7.42,4.05,11.82,5.29,8.85,7.08,4.21,1.00
9.52,6.95,10.87,3.84,9.53,3.37,7.93,6.79,11.74,12.19,4.12,3.81,14.02,9.49,0.00
10.15,6.27,10.49,7.27,9.36,3.56,9.37,6.08,4.07,12.50,4.16,6.62,9.11,5.04,0.00
4.06,6.46,9.68,4.11,12.55,3.89,5.32,8.57,4.26,12.36,4.89,3.76,8.13,10.14,0.00
4.10,4.58,4.64,3.90,7.35,3.67,7.35,3.93,3.87,3.74,5.22,3.56,4.90,5.01,0.00
3.90,8.77,11.94,8.63,10.89,3.52,6.77,7.87,4.45,11.86,5.14,3.91,6.59,4.58,1.00
4.01,6.13,10.74,4.33,11.94,3.41,5.10,7.48,4.38,3.87,4.84,4.71,5.02,4.26,0.00
3.83,5.99,11.92,6.31,12.45,3.44,7.41,7.63,4.34,11.92,4.45,6.21,5.70,4.28,1.00
4.04,7.71,10.19,3.67,10.60,3.50,6.86,6.54,4.34,11.67,5.14,6.96,5.84,4.29,0.00
3.89,7.71,12.23,9.13,11.99,3.73,5.04,8.39,4.43,12.14,7.96,8.02,5.63,4.08,1.00
4.17,5.03,4.75,4.16,8.37,3.64,7.54,5.35,4.14,3.76,4.50,3.56,4.98,4.84,0.00
3.86,6.11,10.26,3.89,10.45,3.26,8.73,7.37,3.91,12.48,10.15,4.35,9.59,3.84,1.00
3.73,6.08,10.79,3.96,5.23,3.67,5.12,7.00,4.51,12.76,7.59,7.83,10.07,4.37,0.00
