121227_at,1278_at,158471_at,23312_at,2620_at,285016_at,3223_at,3303_at,330_at,340061_at,3514_at,375061_at,3848_at,388507_at,440498_at,4753_at,51313_at,55286_at,57415_at,6318_at,7699_at,7764_at,80183_at,83937_at,8531_at,871_at,9022_at,9143_at,94121_at,9760_at,label
6.96,12.80,4.45,8.18,3.63,3.87,5.04,11.27,5.70,8.32,5.35,5.71,3.63,7.98,8.24,4.38,4.74,4.01,11.14,3.47,7.88,8.55,4.18,5.03,11.61,9.96,4.81,4.82,5.67,4.57,0.00
5.90,12.18,6.96,8.47,4.29,3.34,10.19,11.88,6.85,7.53,5.91,8.88,3.90,5.16,5.20,4.95,8.05,4.46,10.41,3.56,7.33,8.64,6.71,8.25,11.26,10.69,3.83,6.62,5.29,3.83,0.00
6.76,13.90,8.50,8.64,3.89,6.00,9.53,12.53,8.85,7.19,5.57,5.62,3.49,8.45,5.92,4.42,5.79,4.25,9.81,3.81,6.23,9.92,4.02,5.85,10.86,12.55,5.51,7.97,3.57,5.16,0.00
6.98,3.86,6.18,8.25,3.67,3.47,10.56,11.98,5.44,8.27,5.55,8.51,3.27,4.01,4.26,5.54,4.16,6.29,10.41,3.61,7.31,9.43,4.46,4.62,11.35,10.45,3.87,6.82,5.09,3.60,0.00
8.54,13.70,6.75,8.37,3.66,3.80,12.41,12.61,5.19,8.22,5.24,4.89,3.46,8.60,6.58,4.37,5.36,4.38,9.98,4.04,7.27,9.07,4.21,5.16,11.78,10.51,7.54,5.30,5.25,4.38,0.00
6.60,5.16,7.17,10.37,3.58,3.63,9.69,11.49,3.78,6.29,6.07,8.90,4.27,3.99,9.30,4.99,4.20,5.26,11.59,3.62,6.75,7.12,4.17,5.12,11.46,6.55,4.03,4.42,5.70,3.78,0.00
6.25,11.21,4.70,9.53,5.30,3.78,10.08,11.78,6.17,7.54,5.64,8.51,3.77,4.90,6.61,4.40,6.64,5.29,11.42,3.63,7.34,8.62,5.33,6.34,11.28,9.35,3.66,5.04,5.31,3.84,0.00
8.76,3.97,4.12,7.99,3.46,3.50,9.33,8.74,5.62,8.28,5.37,6.38,8.00,4.74,7.95,7.30,5.14,4.08,9.95,6.75,7.14,8.31,4.04,4.94,13.24,10.08,6.40,4.84,3.83,4.20,1.00
7.13,7.05,4.63,7.97,4.11,3.58,9.49,10.86,4.72,8.43,5.59,6.83,3.56,4.04,4.72,7.15,3.81,3.89,10.57,4.04,7.28,8.05,3.90,6.73,12.35,9.58,8.42,5.60,5.26,4.44,0.00
6.63,5.41,4.12,9.06,3.68,3.61,7.96,5.90,5.63,4.32,6.03,6.76,3.63,4.51,8.49,4.14,7.33,7.89,4.16,3.66,7.75,9.44,4.16,4.56,13.21,8.73,9.70,6.11,6.18,3.76,0.00
3.84,4.16,4.44,7.49,4.52,3.91,4.93,11.75,12.48,4.62,13.92,6.57,4.26,6.37,8.17,4.75,4.20,4.12,5.38,3.87,7.95,9.03,4.02,4.57,4.14,4.92,3.66,5.47,4.09,6.76,1.00
7.66,3.93,5.30,10.80,6.87,6.11,8.94,4.19,4.12,4.08,6.76,8.69,3.67,5.94,4.12,11.80,3.58,3.79,11.72,3.75,9.53,9.78,4.06,4.58,5.94,8.25,3.60,4.97,8.81,4.16,0.00
4.54,4.04,5.78,9.00,3.75,9.65,9.09,11.85,9.21,6.30,5.40,4.21,3.58,7.01,8.04,6.23,3.93,4.21,4.10,3.69,7.21,8.99,4.13,4.57,11.60,9.64,6.55,4.35,5.02,3.82,1.00
5.65,9.54,8.17,7.79,3.87,3.61,8.83,6.39,6.84,5.33,5.73,5.43,3.38,8.44,9.60,5.83,4.71,5.25,11.14,3.86,7.77,8.77,4.26,4.41,12.01,9.89,10.59,4.97,7.09,6.79,0.00
7.46,4.39,5.05,9.12,4.01,3.76,6.32,12.76,8.68,7.19,5.53,7.30,3.65,4.45,8.56,4.10,4.09,5.60,5.24,3.69,8.48,10.74,4.12,5.20,12.69,7.67,5.53,6.27,6.21,3.87,0.00
9.11,4.42,4.31,8.55,8.85,3.38,10.09,4.28,4.19,3.72,6.03,7.97,4.15,4.44,8.03,4.83,4.69,7.47,4.82,4.37,7.63,8.36,4.12,6.59,11.66,8.75,3.84,5.19,3.97,3.66,1.00
5.23,8.48,4.64,7.49,4.17,5.42,9.47,10.83,9.34,6.42,5.55,4.97,3.66,5.80,9.74,8.50,4.46,6.51,8.44,3.81,8.58,9.63,4.57,5.13,12.62,9.75,7.18,5.31,5.33,3.88,0.00
6.24,3.89,4.40,10.17,11.13,6.34,6.57,4.64,8.25,4.70,5.24,8.14,3.97,8.43,7.88,5.79,3.87,4.06,4.24,3.58,8.10,10.13,8.00,4.61,12.39,7.10,3.75,5.85,3.43,9.47,1.00
3.85,4.09,4.22,8.80,7.55,3.39,8.90,10.55,10.82,7.69,14.40,5.00,3.78,5.16,3.99,5.27,3.90,4.04,3.93,3.49,9.53,10.36,6.63,8.15,12.69,6.61,3.69,6.86,3.84,4.38,1.00
6.47,13.49,7.65,8.76,3.72,3.62,10.34,11.44,6.67,8.26,5.73,4.54,3.73,7.55,4.09,5.57,7.51,4.12,11.35,3.75,8.76,8.80,4.08,6.08,11.52,10.69,7.87,5.43,4.27,7.06,0.00
3.92,4.06,4.29,9.28,4.46,4.19,7.12,12.45,9.79,9.98,5.76,10.09,3.43,4.08,4.99,4.54,4.11,4.18,10.00,3.75,6.80,10.15,11.23,6.66,12.41,6.72,4.26,5.42,3.93,5.78,0.00
6.92,4.10,6.13,10.42,11.15,3.82,6.13,4.18,5.16,8.74,14.55,4.60,4.02,4.06,3.49,6.96,3.98,4.07,9.77,3.64,7.91,11.21,7.37,4.45,11.90,5.30,3.92,6.01,5.64,4.28,1.00
3.57,4.09,8.51,7.65,3.73,3.58,4.24,10.86,5.22,10.05,5.21,5.92,3.72,9.11,9.02,4.72,3.79,3.88,3.65,7.07,7.76,9.55,3.99,5.12,12.70,9.37,3.90,7.36,5.99,8.38,1.00
4.43,4.39,4.26,9.69,5.00,4.05,4.65,4.04,6.99,8.85,6.08,3.86,3.80,8.28,4.59,7.71,3.98,4.20,5.63,3.74,8.40,9.74,4.05,4.49,11.55,5.91,3.98,7.64,3.65,3.74,1.00
