355_at,51226_at,51260_at,5447_at,54495_at,55106_at,5935_at,90488_at,9609_at,label
4.50,6.22,8.48,9.31,6.71,4.88,7.79,10.67,4.51,0.00
8.56,8.27,9.52,7.38,8.01,7.83,7.04,11.74,4.57,0.00
8.45,5.76,9.64,8.76,9.37,7.09,7.66,9.96,5.22,0.00
11.76,7.63,10.28,7.57,9.11,4.75,8.86,10.80,6.03,0.00
5.79,5.79,10.25,7.02,9.27,4.56,8.14,10.66,4.86,0.00
5.29,5.35,8.76,6.45,10.06,4.60,8.34,10.01,5.95,1.00
7.96,4.83,7.84,6.15,10.09,4.27,8.44,10.66,4.82,1.00
11.45,7.15,9.21,7.26,10.04,8.66,9.46,11.05,5.43,1.00
7.89,6.33,9.30,7.78,10.38,8.07,8.08,10.74,5.76,0.00
9.33,5.39,10.21,6.73,10.09,4.89,8.26,9.59,6.62,1.00
7.04,5.10,9.58,6.95,10.13,7.22,8.62,11.62,4.24,1.00
9.40,6.37,9.33,7.72,9.35,4.27,8.37,9.95,4.74,0.00
4.03,6.47,9.02,7.08,10.35,7.10,7.94,9.96,4.64,1.00
6.87,6.75,4.88,8.66,7.89,5.97,7.29,9.77,4.25,0.00
10.89,6.17,10.29,7.53,9.15,7.44,8.60,10.41,4.95,1.00
4.72,6.52,9.56,7.59,8.78,4.23,8.60,9.67,5.53,0.00
5.99,5.72,8.03,5.78,9.22,6.20,7.94,10.65,9.04,1.00
9.51,5.15,7.89,7.55,9.24,6.09,7.71,8.97,6.54,1.00
11.22,8.47,9.52,7.88,9.70,6.12,7.86,8.62,7.43,1.00
9.04,10.04,9.13,7.27,9.37,4.08,8.69,8.15,5.40,0.00
9.95,5.89,9.26,6.72,9.98,4.44,8.85,11.38,8.83,1.00
9.18,8.57,9.53,6.40,9.83,7.69,8.88,9.90,5.96,1.00
9.74,9.25,9.30,9.52,8.68,6.56,7.58,10.33,6.22,0.00
5.91,5.22,9.65,6.74,9.53,7.20,9.30,8.88,4.46,1.00
8.94,7.97,9.07,7.62,8.77,6.54,8.25,10.44,5.61,1.00
8.86,5.60,9.65,8.84,10.59,9.08,8.92,11.31,4.30,0.00
4.30,8.97,6.45,8.97,9.04,4.27,7.72,9.77,7.00,0.00
8.28,5.81,9.87,8.97,9.48,5.98,8.07,9.75,5.11,0.00
6.89,7.32,9.88,7.75,7.65,6.28,7.33,9.27,4.80,0.00
8.04,5.86,10.03,7.28,7.38,4.70,8.27,10.23,6.05,0.00
8.10,4.93,9.15,8.42,8.76,6.22,8.01,9.37,4.97,0.00
4.20,5.69,4.77,9.87,8.05,4.44,8.48,10.71,6.51,0.00
9.46,7.05,8.60,8.43,8.24,6.95,8.30,9.61,4.69,1.00
6.01,9.42,5.98,7.78,10.01,4.67,8.82,8.91,6.39,1.00
7.00,6.65,8.20,7.36,9.74,4.69,6.12,10.03,5.39,0.00
7.73,7.57,9.59,7.43,9.74,8.14,6.87,10.42,6.28,0.00
7.21,4.90,9.33,8.71,10.25,8.67,7.54,10.65,6.47,1.00
9.17,5.41,9.90,7.56,10.42,8.18,7.52,10.85,4.61,0.00
7.02,6.31,9.62,7.48,7.73,5.02,8.78,9.69,4.93,0.00
6.73,5.40,10.05,8.30,6.72,4.53,8.96,9.33,4.95,0.00
8.96,7.84,10.04,5.90,9.07,9.20,8.76,10.51,5.23,1.00
8.61,8.60,9.64,8.54,8.52,5.72,7.19,8.81,4.59,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
9.99,6.34,7.69,7.11,9.49,4.66,8.53,9.73,4.78,0.00
7.15,5.14,9.59,8.21,9.02,8.40,8.66,10.98,5.42,0.00
5.50,5.42,9.77,8.66,7.60,6.78,7.98,10.86,5.99,0.00
5.43,8.98,9.63,7.72,8.15,7.06,9.01,11.20,6.14,0.00
7.94,4.70,10.22,9.73,8.32,6.90,7.17,9.66,6.15,0.00
4.38,5.68,9.74,7.87,8.51,6.92,8.95,9.08,5.51,1.00
5.06,5.31,6.86,8.39,8.07,6.85,7.13,8.86,4.66,1.00
9.83,7.18,9.52,6.40,10.27,5.42,9.21,11.08,4.67,1.00
7.68,7.22,8.13,8.86,9.05,7.68,7.85,10.95,4.50,1.00
6.53,5.48,9.49,8.70,9.67,4.59,8.72,10.89,6.71,0.00
10.11,8.08,10.46,8.42,8.79,8.82,9.13,10.11,6.79,0.00
9.84,6.74,8.86,7.72,9.12,4.83,7.21,9.89,5.52,0.00
8.72,5.52,9.45,7.38,9.97,7.83,8.34,11.26,5.19,1.00
6.72,6.93,10.52,8.77,9.70,4.24,9.35,9.93,6.99,1.00
6.10,5.36,10.09,8.17,9.77,6.68,8.88,9.31,4.84,1.00
11.12,5.35,9.98,7.14,9.38,6.87,8.88,10.24,4.70,0.00
8.04,6.45,7.28,7.83,8.40,4.42,8.99,9.17,6.46,1.00
6.22,6.19,9.66,6.85,9.85,9.33,8.45,10.43,4.74,1.00
8.98,9.18,9.49,8.05,9.97,4.64,7.51,10.89,5.17,0.00
6.69,5.01,8.88,5.79,10.21,4.78,8.83,11.27,8.34,1.00
10.01,5.15,9.52,6.69,10.77,5.21,9.09,10.11,4.63,1.00
4.68,8.29,9.11,7.46,10.59,7.26,8.68,7.62,4.72,1.00
4.34,5.97,9.04,9.95,9.22,4.60,7.56,9.13,4.37,0.00
8.09,6.08,10.10,7.35,10.02,9.13,7.35,10.42,5.40,0.00
8.64,4.57,7.78,7.11,9.98,4.28,8.11,10.08,6.40,1.00
5.25,7.93,10.58,6.77,9.43,4.04,9.41,10.52,6.32,0.00
4.59,5.05,9.27,6.70,9.25,4.17,7.36,11.01,5.49,1.00
7.60,5.10,10.04,8.72,9.25,4.52,8.94,10.12,5.43,0.00
4.91,8.56,9.01,6.04,10.40,4.78,7.97,10.64,5.64,1.00
7.20,4.72,8.08,7.53,9.02,4.23,8.94,9.59,5.62,1.00
8.55,6.34,9.08,7.72,9.37,4.18,8.43,10.17,4.45,0.00
7.71,5.67,9.25,8.85,8.94,7.40,8.68,10.47,4.50,0.00
5.76,4.97,9.85,8.90,7.69,4.16,8.36,10.45,6.61,0.00
6.28,5.37,6.98,7.60,8.11,4.12,7.37,9.80,5.33,0.00
6.78,6.33,10.29,8.97,9.63,4.19,8.44,10.41,5.40,0.00
8.32,6.34,8.43,8.30,7.43,7.60,7.42,9.29,5.38,0.00
6.95,7.42,9.30,8.99,8.50,8.22,8.02,10.28,4.54,0.00
6.84,10.93,8.87,7.90,6.76,7.90,8.03,11.41,5.41,0.00
4.24,5.58,9.22,7.13,8.79,4.64,8.96,9.92,4.87,1.00
7.13,5.15,10.69,7.68,10.35,4.46,8.59,10.33,5.84,0.00
7.65,8.47,9.41,9.03,10.25,6.30,8.11,10.31,5.24,0.00
8.26,4.71,9.37,9.00,8.23,8.05,8.51,9.82,4.71,0.00
9.03,5.57,9.42,7.21,9.72,4.83,8.78,10.37,4.54,0.00
8.88,7.53,9.08,8.57,9.66,4.62,8.20,10.58,5.60,0.00
10.28,9.99,9.75,6.56,9.25,8.80,8.30,11.22,5.00,0.00
4.45,4.28,9.31,8.62,8.80,4.82,7.12,9.69,4.78,0.00
