100124700_at,100652898_at,1009_at,10810_at,1281_at,146857_at,147381_at,147495_at,1604_at,1759_at,1827_at,1847_at,203413_at,2037_at,2152_at,256691_at,2571_at,25797_at,284702_at,29091_at,2919_at,29940_at,3216_at,375033_at,3759_at,3872_at,401074_at,5090_at,54097_at,54532_at,55786_at,57639_at,5793_at,64108_at,644246_at,8870_at,8910_at,9540_at,9603_at,9760_at,label
8.00,13.13,10.97,10.01,13.90,7.07,4.06,4.86,11.30,8.21,8.76,6.30,3.46,9.58,9.53,3.91,4.52,7.12,7.26,5.36,7.41,11.09,3.90,4.90,5.98,6.25,5.84,8.69,3.85,8.56,8.01,5.34,7.49,6.31,5.85,12.69,10.82,8.37,5.94,4.38,1.00
4.12,8.04,11.13,4.83,5.89,3.74,6.86,8.18,13.10,5.56,7.41,8.98,9.44,8.24,9.89,8.96,4.22,5.91,8.10,3.79,6.98,5.86,5.70,8.78,9.26,11.48,4.17,6.99,4.28,6.43,3.59,4.95,5.86,6.97,6.61,12.18,4.08,8.49,6.36,5.05,0.00
3.54,11.99,6.64,6.54,9.27,3.96,4.71,4.09,9.95,5.43,10.02,7.05,3.67,8.06,9.02,4.11,6.73,8.56,7.35,7.35,9.82,6.95,7.79,3.78,6.20,4.15,6.94,8.78,4.14,9.19,5.09,4.79,8.38,8.99,7.85,12.55,11.40,9.30,7.10,3.84,1.00
3.53,10.68,3.94,8.78,3.74,3.67,4.03,3.95,10.13,5.53,10.23,8.41,3.98,9.61,6.39,3.58,5.95,10.51,6.22,4.19,12.64,8.02,7.73,3.89,5.20,4.06,5.61,7.95,3.85,8.07,3.64,4.48,8.49,8.75,8.00,11.78,10.28,9.04,8.17,3.76,1.00
3.61,7.58,4.03,5.45,3.94,7.82,4.21,4.13,9.56,8.21,7.09,9.00,10.14,8.50,6.36,3.63,6.80,7.75,9.05,8.66,6.93,4.09,5.41,3.96,4.29,4.55,4.68,7.18,3.81,7.03,3.86,4.35,6.68,3.91,5.51,10.49,10.12,11.76,5.12,3.63,0.00
3.45,9.65,4.10,5.81,3.79,8.15,4.08,4.11,10.41,5.70,7.31,11.15,8.54,9.03,11.38,7.75,7.14,5.69,5.43,3.81,6.55,8.50,8.97,3.86,4.27,10.45,4.34,7.10,9.24,7.79,3.67,4.75,4.91,9.09,7.57,10.25,10.93,8.83,8.96,3.68,1.00
3.67,6.35,4.53,4.97,5.50,5.04,4.53,4.00,8.79,5.34,6.32,5.27,3.64,10.40,4.18,3.75,5.73,4.17,8.24,7.19,3.77,7.59,6.27,3.68,6.09,4.27,4.14,8.66,3.81,6.66,3.75,6.64,6.64,8.41,6.74,8.58,6.95,8.08,6.67,7.38,1.00
3.47,10.04,4.46,8.53,5.52,3.70,3.94,3.69,8.49,6.37,6.00,9.80,3.73,9.41,10.55,4.15,4.46,3.90,7.61,3.93,4.51,5.18,11.07,3.78,10.09,4.18,6.01,5.74,3.73,7.16,4.51,4.57,6.76,3.98,8.01,9.76,12.19,7.49,5.75,3.64,0.00
4.71,11.72,4.44,4.95,3.73,3.69,4.08,7.73,11.22,7.04,6.61,5.11,11.45,4.33,7.06,3.53,8.51,3.50,6.40,6.47,11.58,3.90,9.18,4.97,3.99,5.25,4.19,7.21,3.78,7.60,3.69,6.26,7.24,9.54,7.38,11.33,4.12,7.20,8.19,3.75,1.00
3.24,10.16,4.06,8.22,7.69,3.61,7.41,4.55,8.85,7.14,6.23,5.36,3.71,8.75,6.71,6.13,5.91,5.67,9.06,8.33,4.63,8.37,7.42,4.08,4.12,5.29,8.61,6.56,7.40,7.59,6.78,10.31,7.20,3.67,4.74,7.74,10.39,10.54,5.16,3.87,1.00
4.44,8.85,11.46,7.99,8.85,4.61,4.06,4.15,11.56,7.68,6.46,5.68,3.41,6.77,8.45,5.13,6.55,4.86,6.27,8.03,8.35,9.21,5.79,4.49,4.40,4.27,7.84,10.55,3.91,6.86,7.10,4.68,4.94,7.47,6.80,10.75,9.69,9.45,6.71,3.82,0.00
3.21,11.00,4.11,4.63,3.86,3.81,3.89,4.28,10.54,8.10,7.84,7.75,3.45,8.42,11.24,5.76,7.32,10.45,10.22,6.65,5.80,8.90,7.51,3.67,3.73,7.29,3.64,8.87,4.01,7.97,3.79,4.74,7.27,4.26,6.10,11.52,10.05,10.86,6.96,3.87,0.00
3.69,11.99,4.11,8.80,3.75,7.07,11.34,4.03,11.25,6.03,6.68,8.56,3.47,7.16,8.39,3.50,6.87,5.57,8.62,8.48,11.42,5.30,6.27,3.87,5.04,4.69,6.53,6.62,3.88,6.36,6.08,8.28,8.16,7.80,6.87,12.80,9.81,9.08,6.74,4.30,1.00
7.24,5.96,4.12,5.88,3.95,6.22,4.51,6.70,9.91,5.99,7.01,5.30,3.68,8.85,4.13,3.60,4.16,3.49,10.94,4.54,4.04,5.38,6.56,3.80,4.16,4.45,4.10,8.47,6.51,6.83,3.51,5.26,6.79,6.41,6.24,8.40,10.71,5.14,4.09,3.88,0.00
4.01,12.73,4.28,9.51,4.12,3.49,7.18,3.94,9.57,7.69,9.14,10.34,3.31,9.57,10.21,5.08,6.46,4.58,7.28,7.94,10.74,7.43,7.36,7.61,5.99,3.94,7.57,9.48,3.61,7.35,5.71,4.69,8.63,4.88,4.85,10.95,10.09,8.36,8.48,4.01,0.00
3.44,9.16,4.05,9.01,3.78,6.67,3.74,3.94,10.72,7.96,8.40,7.89,3.35,8.66,5.74,3.63,4.16,6.61,8.99,5.34,4.32,7.79,4.29,4.18,3.98,3.77,8.11,7.94,3.51,5.84,7.12,4.81,7.33,4.88,5.69,6.10,4.78,5.01,6.16,8.38,1.00
3.38,13.41,9.70,5.28,3.76,3.59,5.79,4.79,7.28,8.71,5.00,6.37,3.53,6.75,4.86,3.61,4.09,4.43,9.50,3.91,4.41,8.66,4.62,4.90,3.95,4.65,5.42,9.06,3.46,6.33,3.92,4.43,9.82,3.95,5.07,5.89,10.61,9.42,3.54,6.30,0.00
3.54,5.42,4.78,7.64,3.88,5.72,4.23,3.92,9.35,7.35,6.53,7.70,3.53,10.30,11.77,9.31,5.90,9.70,8.54,6.75,13.09,11.06,7.71,4.08,4.59,3.91,7.85,9.29,4.12,7.31,3.60,4.50,7.65,5.16,5.84,12.65,12.25,9.65,7.55,4.75,0.00
3.80,13.38,11.00,8.09,8.79,5.02,3.88,3.85,9.91,5.51,8.68,6.54,7.91,8.39,6.99,5.86,7.00,3.35,7.59,3.81,4.02,10.35,8.76,3.75,4.19,6.72,5.59,8.77,3.60,6.45,6.89,4.88,8.09,6.46,7.83,12.27,11.04,7.88,8.93,4.68,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.05,9.70,4.04,8.47,3.71,3.70,4.01,4.26,9.31,9.27,8.68,9.63,3.32,8.40,11.23,5.50,7.39,3.68,9.76,4.90,4.24,8.14,8.99,3.82,4.02,4.48,8.11,7.67,3.76,7.76,8.07,5.34,4.31,6.54,7.07,12.05,11.71,6.52,7.18,5.23,0.00
7.18,8.90,4.17,4.89,13.47,3.68,6.02,4.18,4.30,6.86,10.85,6.39,3.91,10.80,6.36,3.49,7.42,4.43,8.54,5.57,4.63,9.94,10.30,3.54,3.95,4.28,4.36,10.61,3.95,6.57,7.46,8.87,4.49,4.10,4.99,12.31,11.17,7.14,4.77,3.60,1.00
3.50,12.58,4.16,4.86,3.85,3.51,7.43,4.03,7.02,4.97,8.63,9.21,3.26,7.74,4.02,3.71,4.30,11.10,9.86,4.34,3.75,4.67,3.84,3.71,4.38,3.82,4.22,7.87,3.90,6.69,3.70,5.13,6.96,4.56,8.75,4.43,11.45,7.31,7.35,3.85,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.33,10.73,4.20,9.72,3.62,4.84,5.35,5.00,9.74,10.16,5.28,6.23,3.59,8.69,8.23,3.47,4.45,10.22,8.16,6.62,4.58,8.99,9.34,3.77,4.78,4.62,4.08,6.85,3.94,6.26,7.17,7.41,6.37,3.42,6.61,10.75,11.31,9.85,6.10,3.66,0.00
6.33,13.64,7.87,9.21,10.09,4.35,3.93,6.68,11.70,4.91,6.64,6.96,3.61,9.80,4.50,3.71,4.99,4.86,8.31,4.03,5.56,7.68,7.79,4.10,9.88,4.10,5.75,8.26,3.70,6.96,3.70,4.10,5.12,4.38,5.52,9.88,10.30,7.61,5.62,7.42,0.00
3.20,11.23,4.28,9.17,3.93,3.92,4.45,4.03,7.56,5.35,7.24,5.38,3.62,6.72,4.38,3.64,6.10,4.10,9.26,3.99,4.06,6.58,4.97,4.14,3.94,3.71,4.22,8.25,3.58,6.07,3.70,7.65,4.95,7.09,8.60,4.46,3.82,4.54,3.85,9.16,1.00
6.73,9.04,4.26,9.17,5.34,3.37,9.36,4.30,9.54,8.59,6.87,5.35,3.54,9.76,6.95,3.39,5.16,3.67,10.01,7.90,3.97,7.46,4.72,3.76,4.09,5.10,3.63,8.08,3.72,6.81,8.81,4.36,6.18,3.74,8.76,9.96,9.41,8.80,6.95,3.52,0.00
3.76,8.09,5.56,9.54,3.81,4.33,8.24,5.19,5.73,9.52,7.56,5.07,3.44,4.40,6.35,5.32,7.74,10.42,11.06,7.68,4.36,8.37,10.05,3.42,5.60,4.01,5.68,9.92,8.79,6.75,6.69,4.76,5.00,3.97,7.99,4.88,12.12,7.30,4.99,8.95,0.00
5.49,13.02,3.91,10.12,8.62,3.39,4.35,4.80,7.02,8.14,6.43,6.39,3.58,7.77,4.51,3.64,8.33,3.60,9.28,4.03,4.04,11.06,5.23,3.86,7.52,10.68,4.21,10.03,3.67,6.41,3.88,5.44,7.08,3.83,8.12,11.34,10.74,4.30,7.01,7.29,1.00
3.35,11.56,4.16,5.00,3.73,6.26,4.18,4.27,10.40,8.96,4.46,9.02,8.52,8.50,11.71,6.36,5.02,3.58,9.08,3.95,8.13,9.29,3.77,5.53,4.06,4.07,6.48,8.62,3.70,8.31,8.00,5.07,5.77,5.15,5.15,12.80,11.00,11.13,6.26,3.72,0.00
3.35,12.64,3.87,9.59,3.86,6.49,4.07,5.68,10.77,5.26,9.87,6.38,8.62,6.14,8.60,3.30,5.90,11.11,6.47,4.57,4.40,9.36,4.24,3.63,5.59,5.03,5.08,8.14,3.87,7.71,5.96,4.85,5.29,4.39,6.46,10.13,11.68,9.05,5.47,3.49,1.00
3.51,11.20,4.74,5.21,3.82,6.00,4.16,3.97,9.53,6.05,6.07,10.04,8.08,8.38,10.86,6.32,7.45,5.49,8.65,5.37,12.90,10.84,5.44,4.65,5.29,9.90,6.12,7.71,3.84,7.61,5.78,4.87,4.68,8.53,7.02,11.42,10.24,9.88,8.93,4.21,1.00
3.54,11.33,4.12,9.39,3.78,6.14,4.06,4.00,10.33,6.50,5.16,8.26,9.54,5.92,11.27,4.86,4.72,7.98,9.34,3.75,11.14,11.56,4.71,5.56,4.59,11.69,6.11,7.26,3.72,7.66,3.31,6.49,5.82,5.30,8.75,12.85,8.91,9.83,7.65,3.67,1.00
3.47,11.46,4.12,8.20,3.84,3.40,4.36,3.90,7.41,4.94,6.41,7.90,9.15,10.18,5.17,3.53,6.59,3.91,8.61,3.62,5.05,9.71,4.70,3.84,4.05,3.91,4.13,7.80,3.69,7.07,8.18,4.46,7.33,4.39,8.71,10.34,10.33,10.18,6.95,3.54,1.00
3.49,11.21,4.72,6.87,3.93,5.51,3.99,4.02,12.22,7.31,5.40,8.89,8.39,4.49,9.54,3.81,6.09,5.37,8.70,6.36,4.15,5.42,7.09,4.10,4.12,4.27,9.35,7.93,4.77,7.40,5.62,4.31,8.15,4.88,4.37,9.98,11.56,10.40,6.20,3.79,0.00
4.16,9.31,4.17,5.30,4.30,5.33,12.50,4.12,8.78,8.70,6.84,5.63,3.53,8.58,4.90,3.67,5.23,4.42,8.63,3.77,6.39,5.81,4.66,3.79,5.40,4.40,8.43,7.46,7.73,6.96,7.90,9.54,6.94,4.11,8.07,8.82,10.63,10.42,6.84,3.72,1.00
3.28,12.12,4.11,8.40,3.88,6.23,4.11,3.94,10.21,6.78,5.34,8.88,3.62,7.26,6.33,3.92,5.58,7.58,8.46,6.13,6.62,5.26,6.30,3.93,4.22,4.33,4.16,6.50,4.16,7.56,3.49,4.38,5.17,4.03,8.05,10.48,9.75,7.32,6.22,3.81,0.00
