10873_at,1303_at,1809_at,26040_at,51276_at,6676_at,9886_at,label
8.27,5.04,7.86,5.96,5.39,6.52,4.37,0.00
5.91,6.82,8.71,4.72,5.26,5.66,7.22,0.00
7.04,9.66,7.24,7.38,5.68,5.79,6.65,0.00
4.64,10.06,9.34,6.63,6.37,4.65,8.61,0.00
5.10,6.29,4.76,4.19,5.01,4.24,4.26,0.00
6.14,9.09,7.42,10.45,5.87,4.22,7.19,0.00
5.89,6.22,5.81,4.81,5.10,5.83,5.82,0.00
6.02,5.30,7.02,6.59,5.93,5.37,6.27,0.00
7.85,4.39,6.19,3.89,6.13,6.91,4.87,0.00
5.07,5.36,4.27,3.93,6.92,6.18,3.87,0.00
6.71,5.93,3.94,4.96,8.79,4.24,3.73,0.00
4.58,8.21,4.02,6.80,5.74,4.25,5.08,0.00
5.14,4.34,4.00,5.55,4.88,4.90,8.20,1.00
4.90,4.52,4.17,4.22,5.77,8.37,9.49,1.00
8.85,6.64,5.67,4.96,6.27,6.81,6.07,0.00
4.69,8.20,7.90,5.27,6.24,4.67,6.61,0.00
7.91,6.44,4.65,4.89,5.34,5.40,5.35,1.00
6.88,8.27,8.19,4.92,5.11,4.80,7.53,0.00
6.92,8.41,10.17,5.90,5.62,8.73,7.36,0.00
7.89,8.54,8.94,6.98,4.93,7.14,7.66,0.00
5.13,7.18,4.78,8.63,6.25,5.00,7.74,1.00
4.10,4.41,7.73,5.95,5.55,6.69,6.58,0.00
5.99,7.33,6.79,6.80,6.12,4.16,6.44,0.00
5.80,6.80,6.03,5.14,5.50,5.41,5.49,0.00
5.35,6.93,8.45,8.00,5.54,3.86,5.96,1.00
6.93,4.30,3.98,4.21,4.63,8.21,5.72,1.00
6.03,4.72,4.44,4.36,7.27,5.15,3.78,0.00
9.16,6.78,4.20,4.28,4.77,6.98,3.83,0.00
7.44,4.54,6.94,5.85,5.24,6.06,4.96,0.00
9.00,5.73,5.43,5.08,6.28,6.75,5.74,1.00
7.59,4.54,3.88,4.28,5.07,4.72,4.50,1.00
6.01,4.84,4.33,6.62,5.66,6.42,4.26,0.00
7.51,4.20,4.10,4.07,5.53,5.00,5.24,1.00
8.33,8.15,6.63,4.33,5.58,5.99,6.22,0.00
8.24,7.45,7.67,7.00,5.90,5.42,7.49,0.00
6.02,4.89,5.21,6.32,4.52,5.41,7.56,1.00
8.44,7.75,4.17,8.41,7.08,5.42,5.85,1.00
5.00,4.60,4.30,3.98,6.37,4.54,9.29,0.00
5.94,4.45,4.39,6.12,7.49,5.71,6.21,0.00
5.16,9.29,8.79,6.83,6.57,7.64,7.55,0.00
7.43,4.59,4.15,4.14,4.20,6.75,3.87,0.00
6.26,4.47,4.81,10.92,3.99,4.80,5.60,1.00
9.32,4.37,4.12,7.81,6.08,4.30,8.08,1.00
8.11,7.64,9.73,5.82,5.39,5.61,7.17,1.00
8.54,4.53,4.25,4.32,5.44,5.22,6.96,1.00
6.25,4.73,4.77,8.91,5.66,10.15,4.46,1.00
7.20,9.31,5.10,7.12,7.22,9.64,4.43,0.00
7.37,4.61,4.90,9.29,6.91,8.42,3.51,1.00
4.60,4.61,7.75,10.19,5.58,5.55,7.02,1.00
6.37,4.58,4.43,7.52,6.31,6.32,4.04,1.00
6.38,4.44,6.20,9.59,5.06,8.29,5.56,1.00
7.82,4.41,4.42,8.92,5.35,6.61,6.95,1.00
5.04,6.99,7.36,5.95,4.26,4.59,5.50,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.63,10.08,6.40,4.16,6.90,6.63,7.84,1.00
8.87,5.25,4.01,4.22,6.36,6.24,4.36,0.00
5.15,8.35,7.72,5.75,5.17,5.37,8.39,1.00
6.00,4.33,4.20,4.35,6.92,4.38,4.70,0.00
5.39,4.31,4.31,8.11,5.90,5.06,4.00,1.00
5.06,5.79,6.48,7.98,5.90,4.10,4.98,1.00
6.31,6.90,4.10,5.32,6.80,6.71,3.70,0.00
6.27,6.25,4.04,6.93,5.16,4.37,4.63,1.00
5.39,4.47,4.31,8.64,4.53,6.60,3.98,1.00
7.86,8.17,3.90,4.02,5.56,6.61,7.43,0.00
5.59,6.19,7.56,4.84,4.02,7.55,6.71,0.00
5.54,4.51,6.10,10.49,6.76,7.98,5.39,1.00
7.23,4.58,4.12,4.39,6.87,4.03,4.87,1.00
7.39,5.45,4.86,4.40,6.34,5.10,4.40,1.00
5.84,4.47,4.45,8.58,5.45,6.01,4.13,1.00
7.91,5.29,4.55,4.65,4.04,4.54,7.61,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.13,4.48,4.29,4.30,5.88,6.78,4.22,0.00
5.26,4.46,3.92,5.77,6.34,5.97,5.99,1.00
7.13,5.53,4.10,6.79,6.38,4.43,5.68,1.00
7.46,4.53,4.32,4.85,7.54,4.65,5.60,0.00
4.85,4.62,4.32,4.01,5.17,7.23,4.08,0.00
5.56,5.17,6.02,8.00,5.93,3.64,6.95,0.00
5.16,9.78,6.48,5.95,6.80,4.45,5.48,0.00
6.68,4.24,5.86,7.18,6.97,4.49,7.48,1.00
8.28,10.56,5.13,4.14,6.31,8.06,4.55,0.00
6.50,10.43,10.94,7.11,5.92,7.77,7.34,0.00
7.15,4.26,4.75,10.48,4.46,9.93,5.67,1.00
4.99,4.43,4.37,4.27,7.10,4.16,5.20,1.00
6.91,4.35,5.16,4.29,4.42,6.54,7.70,1.00
5.03,4.39,3.98,5.64,5.97,5.18,6.42,0.00
7.40,5.58,8.24,4.19,6.25,4.60,4.99,0.00
5.61,4.36,6.69,7.79,6.63,4.08,5.74,1.00
9.33,5.38,6.36,3.93,4.94,7.00,5.68,0.00
4.99,4.50,4.01,4.64,5.98,8.82,4.58,0.00
6.73,6.16,4.03,7.12,6.58,7.20,4.75,0.00
8.46,5.73,8.73,5.87,6.24,8.03,5.80,0.00
9.04,4.90,6.87,5.60,8.69,6.67,7.71,0.00
7.17,4.50,3.99,5.27,6.13,6.90,6.17,0.00
7.57,7.67,7.08,6.29,5.71,6.87,6.91,1.00
8.20,8.52,6.49,5.17,5.75,5.76,4.43,0.00
8.03,4.19,7.35,5.06,4.94,4.75,6.53,1.00
7.01,10.79,4.06,4.36,6.63,5.10,8.74,0.00
6.26,4.33,11.14,5.51,5.59,5.25,5.42,0.00
8.53,6.75,5.90,4.07,7.07,7.78,7.25,0.00
7.24,4.36,4.13,4.04,5.71,5.37,4.27,1.00
7.15,6.12,7.12,4.74,5.71,7.77,6.64,0.00
7.33,6.29,7.32,4.57,6.01,6.93,6.22,0.00
7.06,6.47,7.27,4.62,6.57,7.56,5.91,0.00
9.71,4.63,6.12,5.61,5.46,4.21,6.80,1.00
5.42,4.77,4.22,4.36,6.85,5.22,4.11,0.00
8.25,4.29,9.47,4.55,4.17,6.28,4.79,0.00
5.95,9.43,7.87,6.56,6.76,7.73,6.11,0.00
7.09,7.23,4.48,5.77,6.63,6.91,7.43,0.00
5.46,7.87,4.61,5.47,6.89,5.67,6.04,0.00
6.49,6.30,4.03,6.36,4.58,8.64,4.40,0.00
8.23,4.37,3.88,4.18,6.18,6.91,4.09,1.00
8.60,5.15,3.88,5.99,5.67,7.16,5.89,1.00
7.17,7.10,6.30,5.44,5.18,7.16,5.82,0.00
8.32,6.50,8.95,4.53,6.16,6.49,5.04,0.00
8.06,4.41,9.91,9.11,6.77,6.84,6.28,1.00
5.86,4.72,4.72,6.44,5.49,5.76,4.02,0.00
7.03,9.35,4.04,7.38,5.66,4.34,8.40,1.00
6.59,6.01,6.38,6.70,7.66,4.44,8.67,1.00
7.99,4.87,9.42,5.25,5.52,7.24,6.93,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.59,4.36,4.50,4.98,6.55,4.49,5.74,1.00
6.26,8.87,6.20,6.88,5.18,5.17,5.29,1.00
6.35,5.36,6.95,7.23,6.28,9.29,7.15,0.00
8.59,8.81,7.16,5.45,5.11,4.34,7.76,1.00
5.34,7.19,7.19,6.46,5.12,6.71,5.92,0.00
6.70,6.35,8.53,4.19,4.84,4.78,5.74,0.00
6.51,4.45,9.14,7.72,6.13,5.23,5.43,0.00
7.07,4.55,4.16,4.26,5.76,4.26,4.06,1.00
7.26,4.26,8.31,9.65,6.33,6.06,8.43,1.00
5.19,6.64,7.09,7.99,5.45,5.24,8.10,1.00
6.22,9.21,9.51,8.14,4.45,3.98,8.19,1.00
5.65,4.46,7.57,7.71,5.47,4.19,6.53,1.00
9.09,8.66,9.22,7.55,6.12,8.64,7.18,1.00
5.46,8.58,7.75,4.93,6.53,4.84,7.42,0.00
5.61,4.41,6.80,6.14,5.76,5.90,6.46,0.00
8.72,5.29,8.79,5.46,5.11,7.11,6.30,1.00
6.43,4.46,8.47,6.19,6.75,4.38,7.62,1.00
6.54,4.56,6.81,8.26,5.95,4.85,9.26,1.00
5.88,4.51,8.28,7.52,5.30,6.08,7.22,1.00
6.51,4.33,7.84,7.14,5.96,6.06,8.03,1.00
5.81,8.53,8.52,4.46,6.57,4.63,6.69,0.00
8.56,6.09,4.29,5.60,7.13,7.46,3.59,0.00
8.50,7.49,9.26,5.06,5.21,9.04,6.74,0.00
5.22,4.49,4.36,7.12,5.28,7.23,4.11,1.00
6.04,4.63,4.05,4.11,6.09,5.54,3.84,1.00
6.79,8.64,3.87,5.51,3.77,6.42,4.06,0.00
7.87,7.63,8.29,8.16,5.75,6.27,7.08,0.00
7.47,4.27,3.96,4.08,5.45,6.36,7.62,1.00
8.18,4.23,3.75,4.23,3.88,4.50,6.50,1.00
7.14,8.82,9.75,8.11,3.97,5.62,7.67,0.00
8.47,4.85,6.21,4.33,5.06,6.07,6.54,0.00
9.00,6.19,5.97,5.01,4.85,7.69,6.31,0.00
4.88,4.60,6.04,4.25,5.44,4.64,4.34,0.00
9.47,9.40,9.58,4.34,6.29,5.90,7.70,0.00
5.88,6.72,6.49,6.19,4.01,5.41,4.47,1.00
5.13,5.77,5.72,6.44,4.45,4.24,5.01,0.00
5.93,9.36,4.83,4.15,5.28,6.86,7.83,0.00
6.62,5.91,3.84,5.50,6.58,6.74,9.33,0.00
7.46,4.40,5.94,4.44,5.33,5.49,3.56,1.00
7.71,7.93,9.32,6.94,6.14,4.80,4.95,0.00
5.80,8.43,7.89,7.33,5.74,4.73,9.13,1.00
5.53,6.35,7.95,7.68,4.10,8.99,5.78,0.00
5.66,4.92,3.72,3.96,7.02,7.84,7.63,0.00
8.56,4.52,6.51,4.48,5.94,8.78,4.85,0.00
6.01,6.56,6.80,5.75,5.52,9.40,9.60,1.00
6.22,5.27,7.04,7.23,5.51,4.73,6.75,0.00
4.97,5.67,8.35,6.00,5.49,6.97,8.26,0.00
5.58,4.46,5.35,5.78,4.68,4.92,6.87,1.00
5.43,5.84,4.85,5.10,4.84,5.17,6.45,1.00
5.54,8.81,10.52,7.06,6.90,5.23,7.53,0.00
7.55,4.50,4.27,6.94,6.41,4.12,6.70,0.00
