100132815_at,10406_at,10536_at,1236_at,1281_at,129607_at,1365_at,142678_at,153579_at,1690_at,170712_at,1839_at,221120_at,23641_at,2697_at,27345_at,28231_at,283897_at,339766_at,3625_at,5570_at,56994_at,57153_at,5783_at,6451_at,7620_at,79605_at,9308_at,9590_at,9603_at,label
6.12,4.42,5.96,3.90,3.66,6.27,3.75,5.55,4.11,8.23,3.83,6.54,9.09,4.87,3.69,5.00,7.72,3.57,3.53,4.59,3.49,11.40,6.08,7.45,10.19,4.31,4.02,7.56,9.91,5.64,1.00
7.68,11.20,5.62,3.96,7.69,6.34,6.76,6.07,7.03,10.22,3.72,6.24,8.74,9.67,13.26,9.70,5.40,3.51,3.46,4.83,4.95,10.61,8.15,7.64,10.14,6.19,5.81,8.67,7.17,5.16,1.00
6.88,4.61,5.58,3.90,4.02,8.60,3.82,6.28,3.99,6.71,3.67,9.17,9.66,9.49,10.19,5.07,8.29,3.18,3.96,4.80,3.65,10.57,6.83,6.04,10.08,5.60,6.21,8.40,8.35,7.74,1.00
4.50,4.52,5.82,3.87,3.61,3.92,4.26,5.68,3.82,4.57,8.20,7.39,7.61,5.86,12.01,5.48,7.99,3.45,3.59,4.55,9.65,9.11,4.64,10.15,3.70,5.86,7.64,6.73,10.14,8.63,0.00
7.68,4.87,4.26,3.72,3.95,4.67,8.38,4.82,4.44,10.64,8.89,6.29,7.91,4.76,10.59,7.44,6.67,3.77,3.90,6.05,9.23,11.16,4.43,4.32,8.97,6.51,5.28,6.60,6.24,6.27,0.00
6.06,4.57,4.94,4.28,3.86,4.12,4.00,6.82,4.13,5.52,4.74,7.44,9.21,4.63,9.55,6.07,7.21,3.25,3.49,10.35,8.08,9.69,5.17,4.98,9.88,6.57,6.91,6.42,11.32,6.96,0.00
8.79,4.49,4.43,4.35,4.04,5.31,3.87,4.99,3.88,10.48,3.62,6.57,6.47,9.35,3.75,7.20,5.21,3.44,3.62,5.67,4.36,11.15,4.17,7.33,5.94,5.56,5.13,8.17,4.85,6.54,1.00
7.21,4.93,6.73,3.68,3.90,7.19,3.85,6.19,3.82,5.84,3.50,6.14,4.45,4.74,3.59,5.75,4.63,3.19,3.65,4.48,3.39,9.49,6.80,8.31,11.41,6.06,5.98,9.11,4.88,4.76,1.00
7.68,3.98,4.10,6.81,3.95,4.28,4.17,7.47,7.44,9.60,4.01,8.34,7.23,5.26,4.03,8.90,6.03,4.03,3.84,4.92,3.58,9.95,8.47,5.30,11.14,4.57,4.54,9.06,9.02,4.09,0.00
5.10,4.23,6.66,3.59,4.12,4.27,4.01,6.90,4.27,11.63,3.64,7.94,9.05,9.50,10.80,5.28,11.22,3.55,3.48,4.36,3.63,10.26,7.72,7.12,8.82,3.76,4.05,10.78,10.24,8.48,1.00
8.18,4.70,4.64,3.90,3.66,9.57,3.74,8.34,8.29,10.26,3.64,9.49,10.33,5.06,3.31,8.60,7.33,9.16,3.45,4.59,3.98,10.64,6.40,4.39,10.44,5.53,6.02,8.59,5.03,5.35,1.00
6.49,4.45,3.90,12.48,3.83,8.08,3.91,5.91,3.80,7.14,6.30,6.06,9.41,5.40,3.64,5.96,6.24,9.80,3.43,4.44,3.70,8.69,6.12,8.78,10.77,4.75,3.86,11.44,4.86,6.69,1.00
6.26,4.10,4.12,8.68,3.70,8.48,3.93,6.54,4.07,4.83,3.72,8.96,10.09,4.83,3.88,4.74,9.40,7.13,3.70,5.08,3.70,3.63,5.02,9.27,10.28,4.47,5.28,6.97,5.38,4.78,0.00
5.83,4.36,4.04,9.89,3.75,4.49,3.97,4.93,4.84,8.80,4.20,7.72,9.35,4.80,6.84,7.93,8.54,9.68,3.82,4.47,3.50,9.94,4.84,4.45,11.39,3.79,6.93,7.05,4.71,6.62,0.00
8.43,4.82,3.81,9.31,3.66,8.02,4.05,6.13,5.69,10.97,3.46,8.04,8.75,4.59,10.49,5.07,5.64,8.31,3.69,4.67,3.69,9.98,8.23,7.02,10.97,7.48,3.91,8.81,10.96,4.58,1.00
6.46,4.40,4.74,3.86,3.78,10.44,3.84,6.21,3.95,12.16,3.63,9.06,9.46,4.78,10.41,5.62,8.49,10.28,3.66,4.29,4.86,10.33,6.42,9.75,10.54,5.43,3.88,8.34,4.84,6.16,1.00
6.36,4.29,4.40,11.40,4.20,4.35,4.06,5.70,10.94,10.52,3.88,5.79,9.50,5.62,3.95,8.40,7.52,9.63,3.90,4.78,3.51,7.70,6.67,9.06,10.98,4.05,4.32,11.20,4.68,7.10,1.00
7.41,4.21,4.93,3.92,3.76,6.70,4.03,4.84,3.98,9.66,3.63,6.36,8.29,8.78,3.88,7.04,7.74,3.49,3.58,4.64,4.40,9.50,4.95,9.43,10.08,5.31,7.48,7.04,10.13,3.54,0.00
7.29,4.70,4.32,8.94,3.75,12.56,3.78,6.53,3.65,8.13,3.78,6.05,9.23,4.92,3.95,6.84,9.43,10.84,3.62,4.17,3.46,10.23,6.63,7.17,11.90,4.77,3.70,8.03,4.58,4.75,1.00
5.03,4.81,4.26,3.97,3.70,4.37,5.66,7.25,6.26,9.24,3.83,6.04,9.20,9.30,11.94,7.17,8.39,3.35,3.66,5.24,3.76,10.30,4.21,7.90,10.50,5.07,5.20,7.50,4.86,9.08,1.00
8.65,4.17,4.39,3.91,3.93,4.12,4.37,5.53,4.28,4.54,4.18,7.22,9.47,9.43,4.10,5.96,9.03,3.61,3.74,4.88,3.75,10.00,4.06,6.87,10.10,4.45,4.51,6.98,4.71,8.55,1.00
4.01,9.69,4.33,3.77,3.83,4.38,4.61,7.96,4.84,4.52,3.75,8.74,8.87,5.58,12.07,7.67,9.27,3.40,3.79,4.91,3.50,6.92,7.84,8.23,8.81,4.35,4.09,6.99,9.64,7.55,0.00
7.44,4.24,4.35,3.86,3.73,9.53,3.84,6.75,3.91,10.26,3.82,6.32,9.24,5.12,3.65,5.77,8.29,11.37,3.74,4.31,3.57,11.20,6.51,7.79,12.26,7.35,4.48,8.80,4.64,6.05,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.91,4.78,3.81,3.72,3.63,7.43,7.50,5.34,4.73,4.71,3.74,7.06,8.70,10.04,3.86,6.84,8.54,3.40,3.61,8.77,9.00,10.21,4.91,7.78,11.06,6.40,3.94,8.34,6.53,9.63,0.00
5.45,4.64,5.78,3.98,13.11,6.40,3.90,4.77,3.82,9.63,3.53,8.09,8.06,9.26,11.99,6.53,6.14,3.33,3.55,4.46,6.08,9.11,6.73,8.37,10.19,5.20,4.98,8.08,7.90,7.80,1.00
6.18,5.04,4.06,4.25,3.95,10.32,4.17,5.97,3.79,9.69,3.70,5.84,9.15,5.19,4.52,5.18,8.43,9.17,3.68,4.55,3.74,10.74,6.86,6.48,11.05,7.18,4.19,8.41,5.93,5.96,1.00
6.64,4.27,4.80,3.73,3.73,4.01,3.93,7.63,8.18,6.00,3.47,6.54,7.65,5.01,12.91,6.44,7.33,3.25,3.68,4.83,3.52,9.76,8.57,6.88,3.68,4.61,7.02,8.22,6.97,6.58,1.00
