ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692
4.59,3.93,9.27,7.09,8.58,6.89,10.37,5.20,7.18,4.94,0.00
6.45,4.00,3.60,6.54,4.57,8.02,7.67,4.86,8.86,6.52,0.00
6.65,8.88,3.69,11.31,6.76,9.91,11.26,8.95,4.97,6.65,0.00
4.47,3.83,3.64,11.27,4.10,8.86,9.11,5.00,8.47,6.08,0.00
4.20,4.00,10.05,7.68,4.00,9.36,3.80,4.50,4.93,3.75,0.00
7.76,3.69,6.31,9.64,3.94,6.54,9.34,8.08,9.14,9.03,1.00
9.64,3.69,3.71,8.54,4.56,7.77,11.30,7.55,7.26,8.01,0.00
4.65,3.86,11.64,9.35,4.67,8.61,9.01,7.14,4.68,9.55,1.00
8.72,3.84,9.51,9.79,7.83,7.83,9.56,8.62,4.99,9.59,1.00
4.84,4.25,5.19,11.93,4.32,9.32,11.97,4.68,4.96,6.38,0.00
5.40,3.86,9.19,11.47,4.88,7.32,10.18,9.09,5.37,9.27,1.00
6.82,3.80,9.13,10.78,5.90,7.67,9.69,9.32,4.91,9.67,1.00
8.04,3.99,7.84,12.98,4.32,8.91,11.37,8.51,8.46,7.48,1.00
6.44,3.71,9.97,13.41,4.09,6.82,10.06,8.88,5.15,8.91,1.00
5.61,3.59,10.37,13.37,3.91,8.26,9.36,10.28,5.05,9.10,1.00
4.29,4.73,3.71,10.42,10.66,5.56,5.77,4.89,4.95,5.63,0.00
