10098_at,10643_at,11012_at,114327_at,114569_at,1293_at,146857_at,1543_at,1573_at,25797_at,2878_at,29113_at,3248_at,3624_at,389376_at,4016_at,4038_at,4312_at,53827_at,55353_at,55819_at,57535_at,5891_at,59277_at,6003_at,654433_at,7306_at,83988_at,84958_at,9770_at,label
6.32,11.61,5.25,8.42,13.38,9.01,4.83,5.98,6.48,3.45,8.86,4.81,5.47,8.94,3.76,7.17,4.57,3.39,10.62,11.67,9.31,4.22,7.74,10.90,3.47,9.06,4.33,3.63,7.37,4.13,1.00
4.40,10.68,5.14,7.37,11.53,5.12,3.50,6.08,8.16,3.94,9.61,5.41,3.84,4.23,4.00,3.84,6.88,4.08,10.19,10.09,7.85,4.51,5.53,6.33,3.46,4.49,3.97,6.98,6.27,5.85,1.00
9.54,10.86,5.48,7.51,12.59,4.44,3.65,5.57,4.22,9.90,10.85,8.05,4.04,4.91,9.25,7.68,4.17,3.98,11.11,12.68,9.21,5.14,5.80,9.30,3.59,4.42,3.99,3.82,6.74,6.10,0.00
5.28,10.60,7.67,8.33,12.10,4.19,6.98,6.52,4.35,5.02,10.26,4.55,3.86,4.69,4.95,5.09,5.22,8.95,6.64,11.58,6.94,4.40,6.95,10.79,3.43,3.91,3.92,9.12,6.88,3.87,0.00
10.43,8.17,4.51,7.11,4.24,12.89,3.63,4.71,3.82,5.58,9.24,4.63,3.98,10.75,3.61,10.22,6.46,8.88,10.35,11.11,8.26,4.25,7.80,9.10,3.50,6.36,3.82,4.16,4.28,4.45,0.00
9.81,8.33,5.11,7.50,4.32,13.84,3.73,5.78,4.12,3.98,4.23,5.03,3.83,12.43,3.54,11.69,5.31,3.65,10.88,11.96,8.76,4.42,10.94,12.41,3.53,4.39,3.82,3.92,4.71,4.40,0.00
9.43,11.19,4.42,8.17,6.68,12.96,3.82,5.37,4.36,3.30,8.79,5.00,7.33,7.73,3.57,10.74,5.69,11.78,10.08,11.51,9.59,4.75,7.03,6.93,3.58,7.58,10.42,3.85,4.72,4.60,0.00
6.82,11.87,4.41,7.75,4.56,4.13,3.65,8.12,5.48,8.71,9.59,5.07,3.92,4.22,3.62,3.27,5.86,7.19,12.88,12.09,9.81,4.33,9.29,7.48,3.40,7.46,3.67,6.04,3.86,5.26,0.00
6.36,9.95,4.93,7.21,4.82,4.47,3.40,6.55,5.12,12.35,4.36,5.10,7.28,4.17,3.84,5.47,7.87,3.91,12.72,11.82,10.57,4.38,8.33,3.58,3.53,4.01,13.62,7.05,5.80,4.59,0.00
9.99,10.21,4.50,7.85,3.72,12.72,3.63,6.35,6.83,4.08,4.68,4.79,4.14,7.27,3.72,9.47,6.56,4.87,11.36,11.71,8.55,5.40,8.91,8.93,3.62,5.88,3.81,5.71,4.98,3.79,0.00
4.86,11.15,5.31,7.60,11.85,4.11,7.71,12.33,8.15,3.83,6.98,4.74,10.86,3.56,3.68,3.69,6.93,3.52,10.80,12.19,4.34,4.34,6.05,10.53,3.63,4.87,3.95,4.60,8.76,3.99,1.00
8.07,11.01,10.67,7.43,13.24,3.97,3.73,5.35,4.29,10.32,9.06,5.13,8.17,3.80,9.56,7.47,4.33,3.24,9.35,11.12,8.07,4.24,5.42,8.43,3.51,6.89,4.24,3.82,6.65,4.22,0.00
7.53,11.38,4.95,7.26,13.52,3.97,8.15,5.71,7.59,5.69,8.02,5.84,8.96,7.15,3.65,4.75,4.57,5.89,10.89,10.76,4.96,4.26,7.38,11.63,3.46,4.36,3.78,3.68,8.86,4.89,1.00
4.68,12.16,5.60,7.50,12.39,4.35,3.70,6.39,4.80,3.90,4.51,4.87,4.13,3.81,8.17,6.22,4.54,3.82,9.28,12.67,9.14,4.44,9.27,10.75,3.40,4.08,4.15,5.94,7.95,7.79,1.00
4.63,7.55,6.34,5.01,12.39,4.53,3.69,9.21,3.74,3.50,4.30,5.45,8.61,3.89,12.05,8.93,4.83,3.37,9.94,12.84,9.50,4.13,5.99,4.14,3.29,6.60,3.99,7.26,7.92,6.95,1.00
8.63,11.23,4.08,7.44,3.76,3.74,3.62,4.62,5.25,3.70,5.39,4.77,3.99,4.12,3.62,10.38,7.57,3.58,4.19,11.91,9.37,4.23,5.60,6.34,3.38,4.14,3.83,6.43,4.78,5.22,0.00
7.20,10.52,4.42,7.14,12.20,3.85,3.61,7.47,6.71,5.67,10.59,4.65,4.88,3.68,3.51,8.21,6.99,3.54,9.52,12.14,9.17,4.02,6.74,7.83,3.32,3.95,6.45,7.75,7.56,4.06,1.00
4.97,11.09,4.85,6.47,11.41,4.12,5.73,8.19,8.90,6.64,10.70,5.04,8.39,4.06,3.86,3.51,8.64,3.58,4.87,12.39,9.32,4.40,7.98,6.30,3.65,4.12,4.01,6.24,5.03,4.07,1.00
8.88,11.47,4.54,8.06,8.62,13.09,3.81,6.37,4.49,10.45,4.31,4.43,9.68,7.98,4.17,8.29,7.19,10.97,9.86,10.70,9.44,4.67,8.54,10.60,3.49,4.78,6.04,4.23,4.32,6.58,0.00
7.13,10.69,4.68,6.16,4.30,3.91,8.45,5.31,3.96,3.18,3.97,4.99,3.99,4.02,3.63,3.47,4.08,3.75,9.49,3.96,8.69,4.14,4.12,3.44,4.11,4.00,3.91,9.12,8.72,9.99,1.00
4.98,10.54,4.65,7.76,4.50,7.18,3.51,8.29,4.24,12.22,4.05,4.42,5.00,4.15,3.74,3.50,8.48,5.21,10.57,12.40,10.59,4.28,8.01,3.91,3.58,4.09,13.58,7.26,4.47,4.51,0.00
9.20,9.39,4.54,6.93,4.47,11.78,5.45,6.98,4.61,4.44,3.95,4.75,3.94,3.95,3.80,5.49,4.60,3.57,10.23,3.80,10.10,4.21,5.04,8.41,3.73,4.24,4.02,8.12,4.93,4.22,0.00
4.72,11.00,5.17,8.00,3.93,4.55,3.59,4.71,4.58,4.77,4.24,4.90,3.94,4.07,3.84,3.59,8.10,3.81,8.99,3.97,4.70,4.54,5.71,4.02,11.94,4.08,3.74,4.11,5.17,12.37,0.00
8.50,10.72,5.35,7.03,12.53,4.46,3.53,4.80,4.76,3.70,8.54,5.00,9.89,4.00,3.71,5.57,4.62,3.60,11.79,12.22,9.66,4.46,6.66,11.82,3.31,6.11,4.06,4.05,7.41,6.43,1.00
9.23,9.05,4.27,9.67,4.15,3.99,3.71,5.26,3.89,3.69,6.49,4.92,4.05,3.93,3.81,6.54,9.91,3.42,4.31,11.12,8.68,4.69,6.96,5.11,3.59,4.15,4.01,8.11,4.88,7.03,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.22,11.44,5.05,8.26,11.59,4.12,3.43,10.17,4.68,3.75,4.09,5.75,5.50,4.30,3.67,5.18,8.41,6.39,9.62,12.16,9.85,4.40,6.51,7.14,3.30,8.04,4.38,4.16,6.91,5.09,1.00
