10396_at,10653_at,10924_at,221711_at,53832_at,55510_at,85027_at,9473_at,95681_at,label
3.73,11.63,8.11,3.88,4.04,3.95,6.01,4.36,7.74,0.00
3.96,6.12,8.48,3.90,3.92,3.96,8.93,4.89,8.22,0.00
3.71,11.18,6.60,4.65,3.63,9.93,7.69,5.04,8.14,0.00
3.63,11.91,7.07,3.85,4.71,3.88,5.45,4.78,8.91,0.00
6.92,11.25,6.23,7.38,4.06,9.18,9.57,8.26,7.92,1.00
5.26,4.70,8.47,9.11,4.05,6.32,10.56,8.14,8.28,1.00
3.94,12.47,10.13,3.57,3.88,6.99,6.00,4.74,9.30,0.00
3.69,8.53,5.72,4.18,3.95,3.84,7.27,4.78,8.77,0.00
4.56,13.44,4.06,4.39,3.94,3.69,7.46,9.50,10.50,0.00
7.23,4.60,8.16,3.93,4.07,3.68,4.49,6.83,9.13,0.00
3.47,11.68,7.14,4.06,4.86,4.01,7.19,5.27,8.77,0.00
3.49,11.97,6.80,5.25,4.89,7.00,6.91,4.49,8.54,0.00
4.67,12.91,8.69,4.06,8.18,3.79,5.94,4.44,8.25,0.00
3.98,10.48,9.00,5.60,4.02,9.58,7.77,4.48,8.53,1.00
3.74,7.93,9.05,4.15,4.13,3.54,9.59,5.44,8.47,0.00
6.35,9.94,5.04,5.87,3.70,3.74,9.69,4.94,10.07,1.00
3.77,11.92,6.98,3.75,6.92,3.45,7.59,4.23,7.97,1.00
3.73,4.11,6.58,3.68,3.98,3.67,9.92,4.15,9.07,0.00
3.67,6.17,3.52,3.86,4.16,3.96,5.45,4.22,9.20,0.00
3.66,5.80,5.29,5.47,4.14,3.79,10.15,8.47,8.27,1.00
3.51,3.88,6.07,4.57,3.91,4.00,6.78,4.68,9.21,1.00
6.91,11.84,8.66,4.91,3.95,3.71,5.37,4.37,9.20,0.00
3.99,3.50,8.72,3.96,3.86,3.83,10.39,6.58,9.21,1.00
4.65,3.59,8.39,3.89,3.92,8.37,6.77,5.16,9.44,1.00
3.70,4.31,9.51,3.98,3.96,3.85,7.40,6.19,9.14,0.00
3.78,3.70,9.75,5.84,3.86,3.91,7.04,7.47,8.60,1.00
4.28,10.62,8.07,4.16,4.14,6.18,6.67,5.51,8.24,1.00
5.76,9.03,7.03,3.71,4.01,3.62,4.87,7.31,8.48,0.00
4.39,4.32,5.59,4.78,4.37,3.84,8.87,5.18,9.58,1.00
4.80,4.14,7.84,4.38,3.99,4.00,8.12,4.42,4.81,1.00
3.71,4.26,6.09,4.06,3.97,3.81,8.07,7.14,8.63,1.00
3.60,4.28,8.12,5.73,3.94,6.56,7.84,4.30,9.31,0.00
4.02,3.90,7.40,6.27,4.08,4.14,7.14,4.44,8.53,1.00
4.10,11.81,6.84,3.87,4.11,6.87,5.99,6.48,8.22,0.00
4.78,12.53,7.57,4.95,8.05,3.85,6.76,7.63,7.34,0.00
7.83,3.87,9.66,3.65,4.20,3.46,4.69,4.43,9.68,0.00
8.33,3.65,8.00,4.02,4.02,3.79,4.29,6.53,9.46,1.00
3.69,3.85,5.94,4.10,4.01,3.76,10.10,5.48,10.02,0.00
3.74,10.40,4.61,4.00,5.46,7.13,7.36,4.33,8.90,1.00
