100127983_at,100131187_at,10363_at,10457_at,11082_at,140883_at,1522_at,1528_at,2040_at,2294_at,23189_at,23312_at,246777_at,25928_at,2719_at,283554_at,286319_at,3400_at,340542_at,4781_at,5055_at,51760_at,51765_at,5266_at,5325_at,54625_at,5530_at,5570_at,55752_at,5577_at,629_at,6519_at,7504_at,79918_at,8404_at,8406_at,84525_at,868_at,9245_at,9732_at,label
8.17,9.52,8.24,8.49,4.33,6.14,10.61,8.21,10.37,4.54,9.35,9.10,3.64,4.90,3.77,4.64,4.29,6.52,5.19,7.40,3.59,4.21,8.91,4.02,6.64,6.99,9.69,3.44,9.53,6.11,5.20,4.52,3.90,6.23,4.33,12.69,6.45,8.88,4.18,6.61,1.00
8.85,9.07,8.18,4.00,3.67,7.30,8.33,6.92,11.55,3.87,4.88,9.75,3.72,4.03,3.94,3.58,4.30,4.64,4.69,4.81,7.89,4.08,9.74,4.41,9.92,8.12,10.10,5.24,8.00,9.20,9.49,4.54,3.46,6.93,4.89,4.11,4.20,11.11,4.09,7.54,1.00
5.37,8.77,7.84,5.84,3.95,4.79,6.90,10.35,10.81,3.90,7.54,8.39,8.16,6.88,3.83,5.42,7.07,8.57,9.16,7.85,5.32,5.20,9.14,9.87,6.70,8.02,10.36,3.90,8.29,5.83,9.63,4.97,4.29,8.19,6.37,5.64,8.98,7.02,5.10,5.96,0.00
4.05,10.74,9.37,4.32,3.87,7.20,8.87,9.38,6.69,4.25,9.82,9.26,3.98,4.70,3.95,3.72,4.38,4.64,5.33,4.97,3.76,7.93,9.62,4.28,4.78,6.90,9.84,3.91,8.71,13.33,4.72,4.91,3.95,8.83,4.49,4.20,4.22,10.02,4.28,4.16,1.00
7.23,10.25,7.76,5.01,4.19,7.25,8.58,10.11,10.33,4.14,7.04,9.20,3.60,4.15,3.78,6.78,4.56,4.65,6.15,7.77,3.62,5.42,8.70,4.20,8.95,6.34,9.74,3.76,8.63,8.61,4.56,5.11,6.54,9.08,4.37,8.14,3.84,6.21,6.42,7.22,1.00
4.76,9.96,6.60,4.31,3.59,4.79,8.30,11.63,10.65,8.30,8.68,4.11,3.48,4.28,3.82,4.84,4.59,6.11,4.84,9.54,4.89,7.38,8.93,12.75,3.48,6.01,12.07,4.15,9.22,3.62,7.09,6.02,8.01,8.89,4.43,3.65,3.78,6.98,12.15,7.70,0.00
4.27,10.33,8.65,7.99,3.84,7.43,7.70,10.90,7.77,4.16,8.80,8.00,3.85,4.33,4.04,4.40,4.84,4.79,5.04,4.20,3.89,7.31,9.71,4.27,7.62,9.34,10.53,3.86,5.24,12.19,4.78,5.11,3.68,7.09,4.61,4.28,9.23,10.59,4.46,5.19,0.00
9.81,7.33,8.96,5.57,3.91,7.57,8.54,9.75,10.69,4.31,8.22,11.84,3.50,4.02,3.76,3.37,4.64,4.72,4.58,3.94,3.60,4.31,10.09,3.96,9.21,8.66,10.57,3.53,9.20,7.37,4.38,4.72,4.03,8.36,4.36,3.80,4.20,7.52,4.44,5.60,1.00
6.77,4.04,7.48,4.46,3.77,8.04,6.40,9.41,9.20,5.81,7.74,9.25,3.64,4.19,4.76,7.46,6.45,10.02,11.02,10.73,3.51,5.44,9.11,4.56,6.66,4.45,9.34,3.56,9.65,8.96,4.71,5.21,4.61,3.95,5.51,8.57,4.24,7.46,3.84,4.15,0.00
8.16,10.25,7.67,9.81,6.25,6.91,6.93,11.22,7.10,7.00,8.54,8.46,3.36,4.00,3.98,4.01,10.10,6.13,6.44,9.99,8.74,4.48,8.69,8.36,6.83,8.29,9.77,3.81,8.74,4.26,8.26,4.95,5.73,7.62,4.11,9.38,4.72,6.54,4.02,4.76,0.00
9.36,3.85,8.91,3.62,3.68,7.36,4.06,10.04,11.73,4.16,4.09,4.36,3.83,4.83,3.59,3.75,4.49,4.48,7.19,7.15,3.60,4.30,10.61,4.07,11.25,8.80,11.09,7.77,10.08,12.51,4.74,4.73,11.40,3.89,4.51,3.94,3.87,8.15,4.47,7.69,1.00
8.87,3.63,8.59,12.91,3.53,8.30,7.34,10.40,11.92,4.13,9.54,10.63,10.05,4.01,3.63,3.72,9.57,5.51,4.99,5.94,4.00,4.11,9.11,3.93,5.62,6.00,9.91,4.37,9.79,9.65,4.41,5.31,3.81,8.28,4.28,13.10,4.11,8.42,5.60,7.78,1.00
