2172_at,29968_at,4316_at,50619_at,5243_at,55769_at,56975_at,79710_at,8460_at,8974_at,91607_at,label
7.42,10.28,4.63,7.63,4.06,8.10,4.77,6.05,5.36,9.76,6.65,1.00
4.84,11.33,7.54,7.75,3.80,6.94,4.74,7.59,6.34,9.10,3.82,1.00
6.55,9.38,4.25,5.73,3.94,8.36,5.95,6.76,6.44,10.49,3.51,0.00
6.71,9.13,4.35,4.36,3.89,7.85,8.91,6.57,8.80,11.31,6.44,0.00
4.43,9.16,7.04,5.75,3.95,8.37,7.63,7.37,6.30,10.09,6.51,0.00
7.66,5.63,4.13,7.09,3.77,8.71,6.33,10.19,5.52,12.82,3.67,0.00
8.25,10.97,3.93,4.30,3.96,8.31,10.02,8.19,9.73,8.45,6.43,1.00
7.47,10.66,4.30,7.60,8.36,8.95,4.42,5.71,6.03,8.08,3.76,0.00
4.10,9.34,4.05,4.58,4.45,8.06,9.25,7.64,9.43,10.69,3.83,0.00
4.95,10.45,4.07,5.42,4.36,7.62,5.25,8.28,8.16,9.98,3.75,0.00
5.11,8.10,5.20,6.00,4.03,7.45,7.42,5.80,7.39,8.71,3.67,1.00
4.47,12.23,3.87,4.24,3.84,8.77,7.23,8.67,6.61,7.61,9.58,1.00
5.51,8.20,4.30,7.48,3.79,7.73,4.19,4.07,5.40,3.89,8.93,1.00
4.91,10.88,3.99,8.19,4.03,7.41,4.58,6.69,5.86,4.09,8.89,1.00
4.16,10.15,4.13,6.42,3.88,8.73,5.61,8.46,7.01,9.34,3.66,0.00
5.30,9.97,4.12,4.73,3.74,8.39,4.52,7.62,7.83,10.44,6.86,0.00
4.76,11.79,4.56,8.95,6.35,9.14,3.62,4.66,5.62,4.08,9.06,1.00
4.41,10.72,5.69,7.96,3.89,8.61,7.01,4.14,7.57,5.86,9.18,1.00
4.85,12.51,4.26,7.51,3.77,6.53,7.06,8.50,6.32,9.33,3.93,1.00
7.72,11.60,4.03,4.73,3.92,9.87,7.83,8.28,7.97,8.54,7.58,1.00
5.08,9.54,4.01,4.75,3.99,9.25,7.65,8.02,7.86,5.43,7.92,0.00
4.53,10.45,4.44,6.38,3.75,9.83,9.11,7.74,8.59,9.40,3.68,0.00
4.49,9.22,3.77,4.98,3.66,7.55,8.85,7.89,7.30,10.13,3.60,0.00
4.32,10.55,4.08,7.06,4.25,8.83,4.32,6.98,8.10,9.57,7.04,0.00
6.15,12.10,6.19,4.53,4.00,7.82,3.90,8.15,7.79,10.52,8.05,0.00
4.38,11.27,4.73,6.32,3.96,7.97,4.54,8.63,5.78,10.36,4.01,0.00
9.74,11.91,4.94,7.11,3.68,3.98,4.56,8.18,6.12,10.31,3.91,1.00
8.15,11.58,4.23,5.12,4.05,3.93,5.89,7.68,6.21,5.66,7.20,1.00
4.75,10.40,4.26,5.09,9.03,8.85,8.43,6.91,7.12,8.42,3.60,0.00
4.48,10.61,4.04,5.17,4.07,9.10,8.16,8.13,7.95,9.91,6.96,0.00
4.27,10.66,3.88,5.86,4.15,4.23,8.26,7.71,7.77,8.70,9.00,1.00
4.38,10.11,4.66,4.78,4.38,6.84,7.28,9.25,6.73,8.58,5.79,1.00
4.91,11.75,10.18,4.67,5.19,8.61,7.97,10.85,7.87,9.28,5.59,0.00
4.42,9.93,6.89,6.97,3.69,8.73,6.84,9.73,8.57,11.21,5.62,0.00
4.23,10.65,4.28,4.86,3.83,7.75,9.05,8.00,8.28,10.26,6.24,0.00
7.65,10.46,4.03,4.44,10.02,8.17,4.65,8.23,8.62,8.94,5.25,0.00
4.31,12.44,4.39,8.22,6.52,9.72,3.98,4.33,5.90,4.12,3.70,1.00
4.60,11.23,3.74,5.04,3.74,8.80,6.99,8.88,7.47,9.46,7.73,1.00
4.11,11.12,3.87,7.16,3.65,8.58,5.20,9.27,8.42,8.84,9.27,1.00
4.16,10.81,3.98,6.88,4.23,8.39,5.49,8.64,8.48,9.27,9.60,1.00
4.56,11.41,4.17,7.03,3.74,8.35,5.09,8.96,8.38,9.54,9.07,1.00
4.14,10.09,4.32,9.30,3.86,9.11,7.63,4.21,5.52,4.23,9.17,1.00
4.12,11.80,4.47,8.20,3.78,8.04,7.29,6.80,4.56,6.07,8.46,1.00
6.28,11.03,4.71,4.64,3.87,6.60,4.66,8.22,7.94,8.43,4.72,1.00
5.49,10.15,4.50,4.89,3.88,9.19,7.45,7.58,9.00,10.14,3.74,0.00
5.25,4.76,4.24,7.71,4.63,3.18,3.83,7.89,6.57,4.23,3.64,0.00
5.80,11.44,4.44,5.66,3.88,8.36,5.30,11.47,8.28,8.54,5.67,0.00
5.18,11.56,13.26,6.04,4.26,9.52,4.12,5.07,7.90,8.17,3.96,0.00
5.57,11.77,9.94,6.15,3.48,8.05,5.85,7.45,8.71,11.03,3.55,0.00
4.66,10.67,8.19,4.71,9.52,3.81,8.99,8.12,6.82,10.34,7.40,0.00
4.68,10.68,4.29,8.62,3.93,8.90,3.77,4.29,5.17,3.85,9.98,1.00
4.42,10.18,5.89,6.35,3.77,8.98,4.39,6.94,6.09,9.20,3.69,0.00
5.91,10.91,12.78,6.26,3.90,6.38,7.99,8.98,7.00,9.32,5.60,0.00
5.26,4.65,4.18,7.36,3.91,7.89,9.21,6.24,7.41,8.41,3.67,0.00
6.28,11.20,4.08,6.31,3.85,8.40,6.86,6.94,6.87,8.63,3.70,1.00
7.92,10.96,4.15,7.04,4.03,8.32,3.98,7.25,5.89,6.16,4.40,1.00
4.40,9.62,4.29,8.59,3.73,8.58,5.78,5.07,6.76,6.08,9.09,1.00
4.07,10.02,4.04,5.35,4.69,7.56,7.59,9.68,8.21,7.92,7.72,1.00
4.74,10.02,4.33,6.43,3.77,7.92,4.64,8.23,6.62,8.36,4.00,1.00
5.88,9.95,4.11,4.87,4.06,7.38,11.99,7.07,8.69,11.02,7.49,1.00
4.48,12.61,4.18,9.44,4.11,8.80,3.94,7.58,5.03,3.98,8.73,1.00
6.47,7.24,3.95,7.18,3.83,7.32,6.63,7.41,7.38,9.93,3.89,1.00
8.45,9.97,4.99,6.90,3.81,9.00,4.67,8.09,6.22,7.46,5.91,1.00
4.56,11.10,4.03,4.39,4.21,8.16,8.70,8.40,8.35,11.59,3.67,0.00
4.54,11.87,3.97,5.82,3.96,7.13,7.48,8.16,8.28,8.92,3.93,1.00
6.00,10.82,7.80,5.49,3.94,5.39,8.39,7.23,7.71,10.87,3.92,1.00
5.04,9.63,5.65,7.53,3.88,3.25,9.38,7.49,8.49,11.09,7.01,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.70,10.31,3.80,4.97,9.62,5.61,4.12,7.03,7.85,8.15,3.67,0.00
4.37,10.80,4.07,8.57,3.94,3.42,8.18,5.18,4.79,7.59,9.18,1.00
4.91,8.69,7.56,6.76,3.92,6.90,4.10,10.47,6.69,9.02,8.49,0.00
4.32,11.39,3.78,4.65,3.74,7.03,7.10,7.77,6.10,5.69,8.86,1.00
3.95,9.65,4.48,4.38,8.06,7.17,11.43,8.97,9.11,12.05,8.09,0.00
8.70,10.66,3.92,4.86,4.42,7.70,4.64,8.92,10.30,10.36,3.39,0.00
4.21,10.93,4.11,5.75,4.16,6.55,6.98,7.65,8.95,10.04,3.67,0.00
4.49,9.51,4.40,3.94,5.69,8.41,10.32,8.83,10.58,12.15,7.76,0.00
7.11,12.56,4.03,7.74,9.24,6.92,4.28,5.75,5.71,5.26,7.91,1.00
7.35,10.03,3.94,4.54,9.87,7.88,7.29,5.41,8.59,8.80,3.77,0.00
5.39,11.39,4.18,5.61,3.73,5.60,4.60,8.68,4.50,7.23,3.89,1.00
4.45,12.20,4.14,4.83,4.43,8.00,7.67,8.55,6.85,9.52,5.80,1.00
4.58,10.51,10.50,4.91,12.21,7.57,8.38,10.87,7.83,9.52,3.86,0.00
4.39,10.99,3.95,6.11,3.95,5.61,5.38,8.62,7.75,10.29,3.60,0.00
4.75,11.59,10.20,6.16,3.81,9.25,4.58,7.25,7.80,10.44,7.37,0.00
4.59,11.70,4.55,8.39,4.14,7.22,4.28,4.12,4.73,4.69,3.68,1.00
5.96,9.76,4.57,8.45,4.16,8.60,4.24,6.15,5.33,8.07,3.83,1.00
6.16,10.19,4.55,8.15,4.09,8.78,4.66,4.91,6.07,3.77,3.84,1.00
8.65,10.31,4.70,6.69,5.41,8.98,5.45,4.38,6.55,4.12,8.32,1.00
6.28,9.86,14.05,6.01,9.34,6.82,7.88,10.26,6.77,7.84,8.65,0.00
5.22,11.08,4.36,8.02,4.18,4.07,5.29,9.09,5.60,7.92,7.46,1.00
4.20,10.88,3.98,7.22,3.68,9.38,8.52,8.06,8.17,10.13,8.19,0.00
4.78,10.61,5.16,5.56,4.65,7.93,6.72,8.77,10.17,11.22,3.84,0.00
