1545_at,2534_at,2627_at,5728_at,58480_at,90141_at,9603_at,label
4.68,8.71,7.26,8.67,4.88,8.86,4.81,0.00
5.93,9.34,7.50,7.33,4.22,8.50,7.10,0.00
7.02,5.83,8.08,8.55,4.12,8.34,6.10,0.00
4.19,5.32,7.41,8.71,9.48,9.42,9.13,1.00
8.74,6.42,9.77,8.76,7.57,7.50,7.91,1.00
4.23,9.42,4.23,10.05,4.36,9.05,3.26,0.00
6.89,6.57,10.29,9.06,4.24,8.90,9.02,0.00
9.28,6.09,9.64,7.57,4.32,9.21,7.93,0.00
4.56,4.76,8.71,8.53,3.81,8.31,8.96,1.00
4.21,9.00,4.16,8.75,5.06,8.20,6.67,1.00
4.85,5.24,8.72,8.52,5.83,9.16,5.75,0.00
5.95,4.22,10.58,9.62,8.35,9.50,8.19,1.00
4.38,7.36,6.01,4.53,4.59,8.48,6.08,0.00
8.24,8.37,9.04,8.79,5.16,8.43,6.96,0.00
4.32,7.39,9.56,7.30,8.47,8.55,6.54,1.00
11.35,4.52,9.11,9.36,7.79,8.79,6.74,1.00
4.95,7.08,3.76,7.87,5.85,8.74,4.76,0.00
4.14,6.83,4.31,9.76,4.21,8.64,4.09,0.00
7.94,8.09,7.75,7.25,4.13,8.04,7.43,0.00
9.92,8.09,3.72,9.22,6.56,9.50,4.78,0.00
4.38,5.47,3.91,9.81,7.87,7.73,6.62,1.00
4.02,8.12,4.07,10.16,5.62,6.97,4.58,1.00
9.12,4.86,10.22,9.63,8.29,8.79,9.27,1.00
6.10,4.23,11.35,8.31,7.52,8.79,7.46,1.00
4.12,4.19,4.66,9.57,4.71,8.22,7.11,1.00
12.44,5.67,9.65,8.65,8.71,9.19,5.78,0.00
4.34,7.33,3.92,8.41,4.02,8.44,8.55,1.00
7.25,7.74,5.02,10.52,5.43,8.00,9.08,1.00
4.44,5.15,4.06,9.74,4.29,8.55,9.04,1.00
4.42,7.26,4.28,9.88,4.02,7.59,8.55,1.00
4.20,8.10,4.87,9.74,4.39,8.13,7.83,1.00
9.09,4.72,8.79,5.78,4.54,7.70,7.55,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.82,4.17,6.62,8.64,6.20,8.71,7.18,1.00
9.57,4.31,10.00,9.25,6.52,8.01,9.63,0.00
11.13,6.60,6.13,8.79,7.02,7.73,7.80,1.00
7.29,6.60,3.79,9.49,4.36,8.74,5.96,0.00
4.34,4.43,4.37,8.96,9.75,8.94,4.77,1.00
6.96,7.42,6.25,9.12,5.40,9.52,6.58,1.00
6.09,4.64,6.89,8.14,4.03,8.61,6.78,0.00
7.89,4.25,7.06,9.58,9.13,7.56,5.31,1.00
4.53,4.12,3.73,9.89,4.59,7.83,7.35,1.00
11.49,7.91,8.42,7.95,5.88,7.38,6.94,0.00
4.15,6.81,8.06,8.24,4.81,8.71,7.21,0.00
4.10,9.08,4.06,10.45,4.16,5.36,7.15,1.00
4.13,6.22,11.20,8.74,9.00,8.88,8.58,1.00
4.82,6.52,6.94,9.01,4.42,9.02,7.54,1.00
10.69,4.80,8.20,8.87,4.40,9.25,6.29,1.00
7.55,9.10,4.65,8.55,4.09,8.11,7.03,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.12,6.50,4.22,9.54,4.18,9.05,7.67,0.00
7.82,4.54,6.01,8.98,6.99,10.30,5.86,1.00
10.44,5.18,7.47,8.20,4.40,7.21,6.91,1.00
9.23,7.25,4.22,7.63,4.43,9.10,5.46,0.00
3.99,4.71,6.06,6.83,4.52,8.62,4.81,0.00
6.56,8.83,8.06,8.24,4.49,8.52,5.28,0.00
5.05,9.32,6.76,9.54,4.73,8.89,6.10,0.00
6.42,8.09,5.82,8.91,6.17,7.63,5.64,1.00
3.97,8.40,9.74,7.72,5.40,8.32,10.26,0.00
10.26,8.79,7.81,7.27,4.18,7.86,6.40,0.00
4.42,9.03,4.14,9.01,4.29,6.97,5.03,1.00
4.22,9.63,4.43,10.34,3.87,7.87,3.85,1.00
9.47,7.49,3.89,9.01,7.40,7.12,4.95,1.00
8.87,7.18,6.31,8.82,8.91,9.05,5.85,0.00
4.66,7.94,8.85,7.88,4.74,8.69,8.84,0.00
6.82,8.10,3.83,8.48,8.54,8.85,7.01,1.00
10.84,6.17,7.15,9.02,4.60,8.93,6.26,0.00
11.61,6.33,5.15,9.44,4.35,8.60,6.42,0.00
10.68,5.89,6.28,5.24,6.04,8.77,5.40,0.00
10.32,4.70,7.75,8.53,4.83,6.25,7.41,0.00
5.36,6.67,4.19,8.70,5.01,9.63,3.35,0.00
7.48,4.35,4.90,8.90,5.95,8.95,4.65,0.00
6.82,8.12,10.65,8.83,6.93,8.44,6.83,1.00
9.12,6.47,4.83,7.67,7.23,8.92,8.98,0.00
10.68,4.84,6.01,8.47,6.72,3.55,5.01,1.00
11.00,4.33,4.54,8.61,4.85,10.13,3.19,0.00
4.31,8.00,5.10,6.70,4.95,8.89,5.44,0.00
10.18,5.94,7.93,8.08,4.30,9.30,6.39,0.00
6.12,6.97,8.54,8.98,5.55,8.35,8.82,1.00
8.63,5.19,7.07,8.77,5.69,9.95,7.56,0.00
8.24,5.75,5.98,8.98,4.58,9.81,7.71,0.00
7.63,5.47,6.55,8.51,4.87,9.98,7.82,0.00
8.36,5.99,3.84,10.20,9.28,7.80,5.69,1.00
4.36,9.25,3.88,9.53,4.17,9.93,4.24,0.00
5.05,5.39,10.72,8.90,8.85,9.21,3.40,0.00
4.16,4.93,8.49,6.65,4.68,8.84,8.25,0.00
6.13,5.71,8.87,9.24,4.42,9.89,8.97,0.00
7.74,4.14,5.93,9.10,6.52,8.39,6.01,0.00
10.17,4.51,6.69,9.11,4.53,9.33,7.24,0.00
7.65,4.69,6.68,8.56,4.34,9.24,8.98,1.00
9.56,7.14,7.82,7.78,3.82,7.14,7.73,1.00
5.91,6.11,6.87,4.48,5.08,7.76,8.11,0.00
7.85,7.02,9.98,9.27,4.86,8.77,7.75,0.00
4.58,8.15,5.50,8.33,9.03,8.83,5.73,1.00
4.43,7.60,4.06,9.06,4.10,8.37,5.96,0.00
9.59,8.95,4.92,7.64,4.81,7.75,4.65,1.00
7.81,5.47,8.08,8.31,9.85,9.86,4.85,1.00
10.25,4.64,7.58,8.40,5.30,9.05,7.45,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.24,9.75,4.22,9.95,11.75,6.92,4.39,1.00
4.63,5.30,5.08,8.24,6.28,9.44,7.74,1.00
4.06,7.81,6.15,6.63,3.98,8.15,5.46,0.00
6.79,8.30,4.13,7.74,4.10,8.52,4.08,1.00
5.93,6.59,9.12,8.46,5.53,9.34,6.03,0.00
4.69,5.85,9.48,7.84,5.92,8.59,10.01,0.00
4.64,8.35,3.86,6.57,4.65,8.50,4.89,0.00
9.27,7.56,3.95,9.54,7.28,7.62,4.95,1.00
5.05,8.79,4.52,8.63,7.68,6.70,4.85,1.00
4.17,7.57,4.73,6.13,5.97,8.40,3.81,1.00
7.75,7.32,7.47,8.31,7.68,7.80,5.70,1.00
6.18,7.29,3.89,7.74,4.74,7.99,5.30,1.00
3.95,7.52,8.09,8.97,4.29,9.83,7.37,1.00
4.18,8.74,4.39,8.49,3.93,9.46,7.94,0.00
4.28,8.43,7.20,8.89,4.00,7.90,3.49,0.00
10.94,7.11,8.55,8.46,4.91,9.61,8.92,1.00
6.50,9.27,6.65,9.96,7.94,8.28,4.06,1.00
4.97,8.12,3.66,8.81,7.66,7.87,5.71,1.00
5.06,9.21,4.43,8.32,6.51,7.29,4.29,1.00
5.04,7.27,3.99,9.26,5.64,8.19,7.92,1.00
11.78,6.53,7.87,8.15,5.31,9.64,4.65,0.00
5.93,6.90,7.32,6.81,8.30,9.14,9.12,0.00
10.36,8.20,8.58,9.18,4.11,8.75,8.14,0.00
4.06,6.42,4.21,10.62,4.19,7.64,4.51,1.00
4.04,5.99,3.75,9.45,4.50,9.16,3.71,1.00
11.31,4.43,4.44,9.73,7.51,9.40,4.63,0.00
11.42,7.82,5.05,4.81,4.24,9.40,5.39,0.00
5.96,7.21,10.51,8.90,8.95,8.42,8.20,1.00
3.90,8.21,5.25,9.21,6.05,8.23,8.42,1.00
6.40,7.19,9.61,8.69,5.46,9.03,5.61,0.00
11.66,6.21,6.57,7.43,5.33,9.24,7.43,0.00
9.86,4.57,7.75,8.14,4.55,9.69,7.55,0.00
6.99,6.99,4.20,8.15,4.85,8.08,4.74,0.00
9.18,7.92,8.84,9.12,5.78,6.98,7.17,0.00
7.87,4.24,8.49,8.72,3.89,8.99,5.77,1.00
6.26,7.71,8.68,9.24,5.85,8.35,5.66,0.00
11.70,6.64,3.81,8.44,5.49,8.90,5.67,0.00
10.11,6.30,3.66,7.46,4.90,8.74,6.44,0.00
8.59,4.16,4.24,8.69,4.40,7.84,7.63,1.00
6.39,8.34,5.73,5.29,4.27,8.15,3.37,0.00
4.12,6.00,5.60,8.56,5.56,9.22,3.73,1.00
10.66,9.31,8.05,8.22,3.91,8.20,3.73,0.00
9.03,4.67,5.83,9.00,4.13,8.31,3.66,0.00
4.05,5.27,6.19,4.77,4.16,9.32,7.79,0.00
4.72,4.32,10.24,8.59,6.09,6.31,8.04,1.00
8.23,9.58,8.67,7.03,8.04,8.09,8.11,0.00
4.01,9.75,4.94,7.19,3.80,8.40,5.52,0.00
4.17,7.42,6.10,9.32,7.39,7.28,7.14,1.00
4.07,8.50,8.99,7.95,5.01,8.58,9.04,1.00
8.69,7.40,8.69,8.22,7.14,7.92,5.54,0.00
10.72,4.53,6.52,9.30,5.41,8.32,3.86,0.00
