154141_at,200150_at,23283_at,27445_at,3397_at,3487_at,400798_at,50865_at,55086_at,751071_at,79633_at,label
9.75,3.35,7.06,4.44,12.70,9.94,3.99,9.16,3.75,6.84,5.00,1.00
7.10,5.68,8.38,7.04,12.32,3.84,4.10,10.30,8.77,6.00,4.22,1.00
6.66,3.53,8.57,3.90,10.04,4.19,4.01,10.55,7.89,6.13,6.46,0.00
7.72,3.60,7.95,5.21,11.66,9.36,4.16,10.42,7.65,6.53,4.41,1.00
9.15,3.47,8.64,3.80,13.81,9.67,4.15,10.47,8.07,5.63,4.05,0.00
8.25,3.85,8.57,4.99,11.15,6.82,3.90,9.58,7.02,5.72,5.30,1.00
7.23,3.40,8.49,6.01,13.38,9.53,5.25,9.78,8.40,6.62,4.47,0.00
7.84,7.06,8.76,4.12,4.65,4.12,3.75,9.32,4.03,6.19,4.14,0.00
6.76,3.92,8.74,7.77,13.12,9.43,4.19,10.13,8.86,6.12,4.29,0.00
7.34,3.56,7.16,4.42,8.78,4.67,4.27,10.34,7.67,5.22,3.96,0.00
7.24,3.53,7.81,3.81,11.58,7.63,4.39,10.28,8.01,7.57,4.02,0.00
8.86,3.70,8.35,6.64,10.67,8.87,5.58,10.62,7.25,4.84,3.45,0.00
4.44,3.64,8.65,3.66,7.59,4.54,5.38,4.02,8.96,6.50,4.02,0.00
7.82,3.60,8.32,4.05,10.10,8.70,4.22,11.36,4.02,6.41,4.21,0.00
7.82,3.52,8.68,6.41,13.55,7.39,6.86,11.58,6.40,5.32,3.75,1.00
6.23,3.67,8.20,5.98,12.82,4.95,4.15,10.50,7.07,5.75,4.22,0.00
7.68,3.53,9.34,3.81,4.44,4.06,4.69,6.60,7.85,5.83,3.96,1.00
5.72,3.52,8.11,5.31,11.99,7.96,4.11,10.99,4.31,5.57,4.36,1.00
7.48,3.67,8.20,3.61,13.65,4.20,4.37,12.79,3.46,6.62,5.11,0.00
7.72,3.47,8.93,7.23,10.55,4.08,5.20,9.83,7.56,6.15,4.99,0.00
5.47,3.63,7.77,4.70,11.93,3.99,4.30,11.19,3.71,5.67,4.95,1.00
7.73,3.81,7.71,3.74,11.35,7.52,3.99,10.42,5.00,5.08,10.62,1.00
4.32,4.90,8.41,3.76,5.39,8.11,4.88,7.76,4.05,5.58,3.80,0.00
8.51,3.59,8.97,3.86,7.67,4.21,3.73,7.49,8.61,6.14,4.04,0.00
5.81,4.01,8.71,4.32,11.07,6.67,3.96,9.84,4.75,5.37,3.95,0.00
6.86,3.72,6.73,4.50,9.64,12.22,4.16,9.35,3.81,5.17,6.74,0.00
8.03,3.79,9.36,3.85,4.10,4.38,4.29,8.64,7.95,5.04,4.18,1.00
7.68,3.85,9.53,3.71,5.27,6.40,4.77,9.62,4.40,4.66,4.01,1.00
5.71,3.52,7.74,7.79,12.26,8.63,4.41,11.04,3.92,5.40,5.05,0.00
6.39,6.23,8.77,8.58,10.28,4.72,3.83,9.04,10.76,5.47,4.07,0.00
6.41,7.03,8.73,7.48,13.36,5.90,4.65,9.26,9.37,5.09,4.61,0.00
7.98,3.66,6.65,4.70,12.26,7.83,4.54,10.39,6.30,6.58,3.45,0.00
5.98,3.78,6.97,4.25,12.83,8.45,4.37,9.73,4.00,5.51,5.62,1.00
4.65,7.86,8.55,9.06,12.49,7.55,4.80,10.44,3.67,4.63,5.10,0.00
7.38,3.71,8.68,5.14,12.62,6.05,4.31,10.69,5.36,5.45,7.68,1.00
6.06,3.57,8.27,4.45,12.62,8.83,5.46,11.15,5.81,5.53,5.18,0.00
8.86,3.76,8.44,6.00,12.73,9.33,5.80,10.20,4.15,6.23,4.29,1.00
7.05,4.32,8.75,5.03,12.14,11.91,4.63,9.03,6.43,5.83,8.46,1.00
7.06,8.99,7.88,4.09,10.79,11.00,4.02,10.99,5.36,5.56,6.66,1.00
8.61,3.57,8.53,4.64,12.42,4.76,4.10,10.77,4.97,5.51,4.17,1.00
5.75,3.46,8.80,8.39,12.76,9.68,4.43,9.83,4.33,5.11,5.60,0.00
4.89,3.48,8.56,4.75,12.45,10.27,4.89,11.01,4.40,7.33,6.75,0.00
5.92,3.61,7.84,7.16,12.25,8.85,4.31,9.82,3.91,5.89,9.27,1.00
10.46,5.32,6.80,6.71,11.39,9.61,3.82,10.75,5.78,4.44,6.57,1.00
6.61,3.47,8.88,3.75,12.05,6.36,4.42,10.46,8.00,6.17,6.05,0.00
5.59,3.65,7.90,5.57,9.91,9.64,4.82,11.00,4.49,5.92,5.82,0.00
3.92,3.78,8.61,8.30,13.68,4.24,4.35,7.58,9.91,5.14,4.88,0.00
7.07,3.72,8.91,3.60,12.59,7.70,5.08,9.73,7.48,5.91,3.68,1.00
9.20,3.71,9.35,3.77,9.90,8.55,3.89,9.76,4.13,6.68,4.23,1.00
9.05,3.39,8.35,4.09,13.72,8.28,4.70,9.34,6.12,5.88,5.32,1.00
4.12,3.57,8.62,4.58,12.52,5.42,4.21,10.69,4.94,6.73,6.71,1.00
5.85,5.06,8.41,5.75,12.55,6.16,4.08,10.09,8.77,7.05,7.66,0.00
8.02,3.56,7.76,3.90,3.95,6.43,4.44,10.53,4.17,7.58,3.95,0.00
4.14,4.04,8.41,4.09,4.65,4.58,7.58,4.71,9.07,6.20,6.63,0.00
9.54,3.63,7.26,3.72,9.07,9.77,4.36,8.61,7.30,5.63,4.39,0.00
9.12,4.17,6.41,4.01,11.94,9.24,4.65,10.15,4.19,5.03,5.04,1.00
7.93,3.72,6.77,3.89,12.58,4.35,4.14,11.11,4.10,6.35,8.35,1.00
