23199_at,23312_at,29968_at,4013_at,7699_at,80183_at,9022_at,94121_at,9760_at,label
KIAA0182,DMXL2,PSAT1,VWA5A,ZNF140,KIAA0226L,CLIC3,SYTL4,TOX
ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846
5.58,6.68,10.88,7.03,8.33,3.97,4.18,3.81,8.09,0.00
10.55,9.16,11.79,6.55,8.56,9.33,4.61,3.80,9.16,1.00
10.33,10.09,10.72,8.54,7.80,4.94,3.87,3.76,3.63,1.00
9.72,9.67,12.51,7.78,7.47,4.06,6.21,5.92,4.12,0.00
6.97,6.46,10.09,7.00,8.76,4.80,11.88,4.78,5.41,0.00
11.52,11.04,9.54,6.56,8.50,3.82,3.68,8.23,8.95,0.00
9.05,8.62,11.35,7.03,7.96,3.73,3.93,4.28,3.97,1.00
8.61,8.05,10.62,6.80,8.19,3.95,4.31,3.68,3.65,0.00
10.46,9.31,9.75,7.27,8.90,3.85,4.40,3.56,4.32,0.00
9.17,9.08,12.50,5.73,8.79,3.86,3.69,5.01,3.54,1.00
9.01,10.27,12.10,7.01,7.78,3.88,5.79,6.73,4.22,0.00
6.76,9.36,10.83,7.04,9.46,3.99,4.70,4.09,3.66,0.00
9.17,8.72,10.56,7.22,8.66,3.83,9.88,4.26,3.61,0.00
9.02,10.19,10.79,6.81,8.30,3.92,6.61,4.93,3.94,0.00
8.43,8.64,10.91,7.38,8.45,5.56,7.96,4.25,3.40,0.00
7.42,8.39,9.42,6.30,7.76,4.01,3.97,5.26,3.75,1.00
9.03,9.14,11.00,6.93,7.79,4.16,3.83,4.80,3.79,1.00
9.78,9.59,10.66,5.41,8.04,3.89,4.65,4.93,3.63,1.00
8.95,9.07,10.92,7.04,7.25,4.34,6.84,4.94,4.48,0.00
8.52,8.38,11.75,5.07,8.05,4.20,3.74,4.81,4.31,0.00
8.61,7.77,6.06,7.06,7.58,3.87,8.07,3.87,3.75,0.00
10.43,9.35,9.93,5.77,6.72,3.72,10.39,7.29,5.10,0.00
8.07,9.89,11.38,7.19,8.14,3.76,3.80,5.81,3.53,0.00
