1365_at,144501_at,221120_at,23216_at,27345_at,2810_at,28231_at,4013_at,57613_at,64798_at,83468_at,84870_at,92745_at,label
3.84,5.14,9.46,7.27,5.62,6.16,8.49,5.24,6.72,5.47,4.78,3.79,8.49,1.00
4.06,5.25,9.50,6.39,8.40,7.65,7.52,5.79,6.78,5.04,4.58,3.45,7.68,1.00
4.03,4.50,8.29,5.41,7.04,6.73,7.74,5.56,7.45,7.66,4.49,3.85,6.78,0.00
3.78,4.09,9.23,7.06,6.84,6.57,9.43,6.79,6.08,10.35,4.30,3.72,7.83,1.00
5.66,5.15,9.20,5.91,7.17,6.79,8.39,5.81,7.68,12.95,4.88,4.13,9.62,1.00
4.37,4.78,9.47,6.34,5.96,7.13,9.03,7.66,5.59,13.20,4.97,4.07,9.60,1.00
4.61,9.36,8.87,5.89,7.67,12.67,9.27,5.51,7.48,5.70,6.46,3.84,4.17,0.00
3.84,4.72,9.24,6.81,5.77,6.85,8.29,7.21,6.83,9.42,4.68,4.04,7.33,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.50,10.40,8.70,6.76,6.84,10.91,8.54,8.76,7.20,10.38,4.44,4.26,4.56,0.00
3.90,6.77,8.06,6.25,6.53,6.24,6.14,6.54,6.64,5.68,8.75,10.53,4.66,1.00
4.17,4.92,9.15,5.67,5.18,6.60,8.43,10.34,7.33,10.01,4.42,3.93,8.59,1.00
3.93,7.34,7.65,6.31,6.44,13.38,7.33,5.95,6.50,5.24,4.34,3.77,4.69,1.00
4.04,9.92,8.13,5.87,8.72,12.28,5.90,5.63,7.14,6.08,5.30,3.85,4.39,0.00
4.21,10.88,8.79,5.94,8.80,13.16,7.42,5.16,6.98,5.05,6.56,5.74,5.14,0.00
4.16,5.84,9.55,5.04,7.56,12.57,7.94,5.38,6.54,6.20,4.52,3.71,4.58,1.00
3.91,4.94,9.54,5.57,5.68,6.34,6.64,5.41,5.96,12.15,5.56,3.75,8.44,1.00
6.46,11.24,9.10,6.60,7.28,13.76,9.86,6.85,6.43,5.16,4.55,4.07,5.16,0.00
9.01,6.95,7.80,5.22,5.09,13.45,9.30,6.21,5.76,8.43,4.57,3.84,6.91,1.00
3.96,5.57,8.90,6.07,7.55,11.93,9.23,6.97,6.62,6.20,5.02,4.15,4.26,1.00
4.21,5.24,4.46,8.70,9.77,6.73,8.67,5.37,5.22,10.76,4.26,3.79,6.62,0.00
10.96,9.14,7.91,5.44,5.35,11.96,8.40,5.40,10.15,9.23,4.46,3.85,4.21,0.00
4.06,6.31,9.16,6.60,8.55,7.11,6.03,5.80,4.98,8.27,7.37,4.13,4.59,1.00
5.57,9.79,9.24,5.05,5.38,11.85,7.79,6.63,9.65,9.44,4.61,3.62,4.41,0.00
3.74,9.31,9.95,6.14,4.98,6.65,11.27,7.85,5.46,8.80,4.60,4.03,4.20,0.00
8.20,9.49,10.09,6.97,5.58,13.29,7.50,5.57,5.57,7.02,6.80,3.51,4.10,1.00
3.66,5.16,8.99,6.43,6.12,6.76,7.60,6.06,5.34,7.89,5.03,3.86,7.40,1.00
3.85,4.83,9.39,5.54,5.39,6.25,8.49,8.28,6.82,8.61,4.37,3.90,9.63,1.00
4.15,5.66,8.75,5.38,10.37,9.53,8.94,5.90,8.61,5.00,10.67,8.60,4.32,0.00
3.84,5.74,9.07,6.00,5.39,7.07,9.19,7.18,6.41,5.29,4.32,3.97,4.21,0.00
4.23,5.02,4.36,7.88,6.08,6.63,9.05,6.38,6.87,4.77,4.34,3.73,9.41,1.00
3.88,5.09,8.39,4.66,7.98,6.66,8.88,7.03,6.94,5.10,4.56,4.02,8.02,0.00
4.09,7.39,8.49,5.85,6.37,6.29,7.31,6.37,5.98,8.52,5.21,5.77,3.97,0.00
3.63,4.91,9.43,5.69,6.97,6.87,7.66,6.55,6.72,6.21,4.22,4.41,7.02,1.00
3.92,6.02,9.09,7.55,5.27,6.79,7.77,8.54,7.17,8.07,4.19,3.99,7.57,1.00
4.21,8.00,9.12,7.16,6.64,6.34,8.23,5.42,7.74,5.21,8.13,3.78,4.36,1.00
6.56,4.56,7.66,6.04,9.24,6.42,6.34,5.24,7.50,4.97,4.57,3.92,4.72,0.00
6.21,8.33,8.87,6.73,7.42,13.02,8.92,5.98,6.36,4.86,4.45,4.28,4.75,0.00
3.99,5.86,8.16,6.80,5.49,6.93,7.15,5.73,6.65,5.73,4.79,4.07,4.57,1.00
3.81,10.67,8.72,5.79,5.23,13.79,7.04,7.22,5.90,6.34,4.25,11.76,4.92,0.00
5.48,8.81,8.36,5.82,8.08,13.51,7.12,5.68,6.91,4.75,4.88,3.78,4.65,0.00
4.31,10.02,8.86,5.24,4.99,11.34,4.70,5.73,6.33,5.00,9.46,10.44,4.25,0.00
4.11,8.15,10.09,6.60,7.22,6.74,7.89,5.41,7.36,5.68,6.94,4.68,4.41,1.00
5.02,5.99,8.85,5.85,5.54,11.45,9.66,8.81,7.10,5.57,4.81,4.22,4.29,1.00
7.28,9.71,8.22,6.20,7.92,11.18,10.63,7.04,7.99,4.69,4.76,4.56,4.50,0.00
3.70,8.85,8.69,5.84,6.56,9.79,10.45,5.07,5.34,4.81,4.18,9.14,4.59,0.00
4.37,10.47,9.20,5.37,7.53,13.29,8.80,7.06,6.24,6.08,4.12,5.10,4.26,0.00
10.15,9.91,8.61,5.45,8.10,12.92,9.17,5.77,8.57,9.52,4.24,3.80,4.31,0.00
4.73,8.37,6.91,6.15,6.76,12.21,9.28,7.19,6.80,4.92,8.20,7.87,4.71,0.00
6.90,5.01,7.15,5.51,6.91,6.42,7.39,5.46,8.32,5.12,7.58,3.88,4.17,0.00
8.22,7.23,9.59,5.59,5.77,11.07,9.66,7.46,7.10,11.56,5.01,4.04,4.50,0.00
10.14,11.59,9.20,6.53,5.27,12.84,10.24,6.23,6.75,4.84,4.33,3.79,4.54,0.00
4.09,4.50,9.93,5.79,7.65,6.35,4.87,7.06,7.37,9.64,4.44,3.73,8.70,1.00
3.97,4.60,9.10,8.61,4.88,6.23,8.01,6.01,6.74,10.06,4.23,4.05,7.58,1.00
4.00,5.21,4.49,6.37,11.54,7.03,5.91,5.67,6.53,11.07,4.28,3.75,4.90,0.00
8.01,8.23,7.22,6.07,8.98,11.44,11.03,5.87,6.50,5.26,3.94,3.85,4.62,0.00
4.16,5.57,9.60,5.09,5.35,6.63,10.24,7.18,8.02,9.89,5.92,4.22,9.50,0.00
7.37,11.30,8.11,5.84,5.15,11.91,7.68,5.48,6.17,8.08,8.29,4.05,4.37,0.00
8.98,5.22,6.87,6.09,4.96,12.37,11.97,6.36,6.56,10.34,4.68,3.77,4.62,0.00
9.11,5.55,8.89,5.53,6.18,8.06,9.09,5.58,5.73,6.86,4.26,5.42,4.59,0.00
4.19,4.70,9.15,6.89,6.12,7.40,8.89,5.53,6.48,5.38,4.54,3.83,6.65,1.00
4.46,5.74,7.35,6.17,11.93,7.01,7.70,5.29,6.30,11.34,4.43,4.12,6.24,0.00
7.01,10.64,9.33,6.62,8.05,13.42,9.32,7.48,7.56,5.38,5.86,3.94,4.34,0.00
7.59,10.21,8.64,6.63,7.11,12.83,9.58,5.60,7.03,4.91,4.48,3.89,9.04,0.00
8.97,9.47,9.24,6.66,8.70,12.67,9.74,5.68,6.82,6.30,4.34,4.19,4.32,0.00
3.81,4.45,8.91,6.48,7.02,6.90,5.15,6.15,6.97,12.37,4.45,3.86,7.91,1.00
9.05,10.06,9.33,6.60,8.95,12.93,10.39,5.65,6.96,6.71,4.38,3.75,4.54,0.00
5.04,11.51,8.26,6.33,5.17,9.25,11.92,8.91,7.29,6.58,4.16,3.58,9.37,0.00
4.06,5.24,8.45,6.63,9.44,6.79,8.58,5.71,6.43,9.75,4.32,4.04,8.82,0.00
4.08,6.68,8.26,6.00,8.53,6.16,5.89,8.08,7.18,6.25,10.05,3.76,4.19,0.00
4.95,9.81,8.81,5.92,8.04,12.04,6.45,7.95,6.42,7.15,8.82,9.76,4.39,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.18,4.86,9.60,7.25,6.51,6.86,7.09,6.96,7.34,7.05,4.65,4.22,6.13,1.00
