ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846,label
7.78,4.32,3.82,3.18,6.49,3.40,2.87,7.43,4.44,0.00
7.11,3.31,6.76,4.06,7.25,3.28,2.95,3.45,3.05,0.00
9.27,5.35,7.80,3.15,7.29,2.98,2.95,4.42,2.90,0.00
9.03,4.37,8.55,3.77,6.55,8.38,2.70,3.04,3.44,0.00
8.15,4.71,4.08,3.40,6.90,3.66,2.95,3.39,5.26,0.00
7.56,4.42,7.67,3.11,6.50,3.28,2.87,3.00,2.94,0.00
6.89,4.15,9.58,3.43,6.21,3.17,2.86,3.19,3.01,0.00
8.81,3.61,9.41,8.69,5.81,3.22,2.77,3.37,2.83,0.00
7.97,4.56,9.20,3.31,6.14,3.22,2.95,3.38,6.82,0.00
6.66,4.04,10.38,3.57,6.82,3.13,3.02,3.26,2.93,0.00
8.41,5.67,9.35,3.12,6.75,3.15,2.93,6.74,3.22,0.00
9.70,5.52,8.03,4.21,5.70,3.18,10.64,3.41,2.93,0.00
7.46,5.02,9.20,4.83,6.81,6.86,2.76,3.46,3.41,0.00
7.74,5.00,6.25,3.31,6.84,3.20,2.79,3.32,2.81,0.00
8.10,3.66,10.15,3.55,8.32,3.70,2.76,3.34,3.22,0.00
6.75,3.94,8.48,3.42,6.32,3.06,7.87,4.14,4.60,0.00
9.73,4.71,6.30,3.08,8.20,3.25,3.12,3.46,7.45,0.00
7.08,3.75,4.07,4.63,5.11,6.06,2.97,3.30,3.63,0.00
4.46,3.29,9.44,3.20,7.24,3.13,2.65,3.40,5.71,0.00
7.01,3.41,7.18,3.26,7.17,3.73,2.93,3.39,4.03,0.00
9.28,4.10,8.52,3.28,6.60,2.94,2.83,3.19,7.05,0.00
8.61,3.90,6.78,3.40,7.23,3.52,3.88,3.61,7.23,0.00
6.44,3.87,6.07,5.27,6.12,2.94,2.86,3.33,3.15,0.00
8.83,3.16,8.33,3.82,6.55,3.74,2.85,4.20,3.54,0.00
6.81,4.17,10.79,4.57,7.66,3.05,3.04,3.16,2.98,0.00
9.22,5.31,6.72,3.96,6.38,3.03,2.91,3.26,2.88,0.00
8.81,3.45,8.68,9.31,6.54,3.34,2.76,4.86,4.07,0.00
9.65,5.99,8.35,3.10,7.64,3.33,2.96,4.54,4.83,0.00
8.70,4.63,6.26,3.40,5.59,3.52,2.83,3.16,4.93,0.00
6.91,4.94,8.38,4.09,3.67,3.68,3.05,3.41,6.17,0.00
9.24,4.73,10.30,4.36,3.59,4.55,2.81,3.16,6.99,0.00
9.50,3.18,8.97,6.60,6.57,3.12,3.56,5.24,3.24,0.00
7.56,3.46,9.78,4.03,7.06,3.22,2.98,3.53,2.86,1.00
8.15,3.37,9.28,3.19,7.44,3.87,2.73,3.35,4.30,0.00
8.53,4.49,8.84,3.42,6.95,2.88,2.93,3.93,2.92,0.00
9.46,4.43,4.27,4.40,6.97,3.12,2.73,3.39,7.05,0.00
7.70,3.86,8.57,3.59,7.52,3.14,2.77,3.51,3.00,0.00
7.47,4.39,9.44,3.57,7.12,3.40,3.25,4.11,2.82,0.00
7.30,4.07,3.91,2.94,7.36,3.37,2.73,4.89,2.94,0.00
8.50,3.32,8.81,6.41,5.98,3.08,2.85,3.85,2.91,0.00
9.22,4.50,10.20,3.23,7.08,3.51,2.77,6.45,6.32,0.00
8.20,6.37,4.29,3.32,7.50,3.81,2.93,3.13,2.96,0.00
7.78,5.07,7.76,3.00,6.84,6.68,3.49,3.48,5.67,0.00
8.08,3.44,7.33,3.35,5.65,10.28,3.14,3.26,3.10,0.00
6.96,6.30,10.68,3.77,6.75,3.09,2.75,3.22,3.01,0.00
7.44,3.78,9.61,3.50,7.46,3.04,2.92,3.05,3.61,0.00
6.68,4.25,8.99,3.19,6.33,3.33,7.65,3.43,2.89,0.00
5.22,3.82,8.32,3.11,6.33,3.10,3.13,4.12,5.26,0.00
8.43,4.90,10.87,3.84,6.75,3.17,2.85,3.05,3.43,0.00
8.52,4.95,9.42,3.32,6.33,8.05,2.79,3.24,2.97,0.00
9.03,3.79,8.31,4.10,6.56,3.16,3.54,3.03,6.36,0.00
8.33,5.32,11.03,4.88,3.29,3.08,2.77,3.77,2.80,0.00
7.04,4.17,8.10,6.52,6.44,3.27,2.73,3.60,2.98,0.00
8.65,5.73,9.46,3.46,6.61,3.05,2.88,5.25,3.42,0.00
