ENSG00000163359,ENSG00000152661,ENSG00000129038,ENSG00000196611,ENSG00000113269,ENSG00000080823,ENSG00000127074,ENSG00000166510,ENSG00000142765,label
3.18,4.12,9.30,3.06,8.48,4.17,2.59,2.75,3.44,1.00
3.42,3.40,2.87,10.61,8.47,6.30,2.77,2.86,3.12,1.00
3.12,5.67,10.51,3.07,9.41,7.73,2.59,2.88,3.48,1.00
3.30,4.72,3.49,3.37,4.31,4.63,2.62,2.87,6.61,1.00
2.95,3.83,3.12,3.01,3.15,5.43,3.23,2.95,3.13,1.00
3.15,3.56,2.94,3.63,7.53,3.76,2.97,2.92,5.81,1.00
9.93,4.51,8.42,3.26,8.83,4.66,2.80,2.91,3.22,1.00
9.58,3.63,4.43,3.11,9.38,3.61,2.75,3.14,3.14,1.00
3.37,3.69,2.94,3.08,3.57,4.53,11.34,2.90,5.66,1.00
3.02,4.05,4.20,2.98,10.38,3.54,2.73,2.83,5.45,1.00
3.05,3.57,7.18,2.91,9.59,3.96,3.12,2.87,6.26,1.00
8.98,5.38,10.36,2.93,8.40,5.60,2.88,2.85,3.16,1.00
3.11,4.09,4.35,3.09,6.90,4.41,2.77,3.64,5.45,1.00
3.06,6.89,5.59,3.03,7.58,5.37,2.83,2.85,3.19,1.00
3.02,4.08,3.12,5.90,9.51,5.00,3.67,2.93,4.14,1.00
3.21,3.59,3.84,3.15,3.43,7.70,6.00,2.92,3.16,1.00
6.88,4.28,3.84,3.12,3.66,4.45,2.54,3.04,3.36,1.00
3.02,3.35,5.37,2.97,9.59,4.30,2.77,2.87,6.68,1.00
3.09,3.44,4.13,3.04,10.57,5.20,2.99,3.01,5.88,1.00
3.24,5.36,4.61,3.12,8.86,6.98,2.70,2.98,3.94,0.00
3.17,3.64,4.13,3.06,8.65,6.50,2.94,3.15,7.37,1.00
3.22,3.63,6.15,3.08,8.11,4.50,2.88,2.95,4.78,1.00
3.77,3.53,5.59,2.99,9.14,3.70,2.79,2.92,8.10,1.00
3.13,3.21,3.56,2.94,5.85,4.01,2.67,2.77,3.47,1.00
3.04,3.58,4.50,6.01,9.28,4.08,2.90,3.75,6.50,1.00
3.10,3.56,4.19,3.04,8.04,4.59,2.84,3.65,3.27,1.00
3.14,3.62,4.63,3.23,4.39,4.95,2.86,2.97,7.69,1.00
3.25,3.64,3.55,3.12,8.98,5.71,2.86,2.98,4.19,1.00
3.22,3.57,3.23,3.47,8.64,3.67,11.33,3.12,5.78,1.00
3.22,3.73,5.09,3.16,3.09,4.03,10.64,2.96,6.22,1.00
3.16,3.51,4.02,3.71,9.94,3.67,3.18,3.01,5.74,1.00
3.74,3.77,2.87,2.93,5.18,3.66,2.71,2.88,6.73,1.00
3.29,3.61,6.45,3.04,8.94,5.05,2.62,2.74,5.66,1.00
3.30,3.72,4.09,2.96,3.07,4.48,7.66,2.97,7.52,1.00
3.96,4.26,8.71,2.93,9.58,4.08,2.89,3.01,3.35,1.00
3.11,3.81,3.16,3.61,7.60,8.00,5.37,5.14,3.21,1.00
3.31,3.65,6.74,6.93,7.49,8.25,2.62,6.15,6.17,1.00
4.84,4.20,7.60,6.09,7.31,4.89,2.81,5.57,3.34,1.00
