ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692,label
6.46,2.97,3.12,3.72,3.61,6.18,5.99,3.18,3.99,3.87,0.00
9.11,2.95,3.25,3.72,6.59,7.08,7.69,3.20,4.78,3.43,1.00
3.97,3.04,3.55,4.33,3.45,7.57,10.00,3.63,3.97,3.47,1.00
4.18,2.89,3.05,4.50,3.41,7.44,10.69,3.57,5.34,3.66,0.00
3.71,3.03,5.49,5.11,7.48,6.87,8.91,6.45,3.41,5.17,0.00
3.35,2.87,3.86,3.64,3.39,6.27,3.76,3.30,3.60,3.80,1.00
3.11,3.02,3.71,3.57,3.21,8.95,3.44,3.08,3.53,3.59,1.00
3.34,3.01,3.87,3.56,3.10,5.18,2.93,3.15,3.26,3.56,1.00
3.39,3.07,4.66,3.56,3.19,8.38,3.17,3.22,3.70,3.53,1.00
4.49,3.24,3.11,3.77,3.10,6.28,7.09,4.78,8.04,4.47,0.00
4.50,3.12,5.01,3.64,3.30,6.86,4.78,3.26,3.68,3.63,1.00
3.83,3.32,3.67,3.80,3.42,4.92,3.78,3.20,3.20,3.66,1.00
8.47,4.46,3.13,5.33,3.14,4.95,6.63,6.43,6.25,4.03,0.00
3.87,2.98,4.67,3.63,3.19,4.39,3.93,7.00,3.32,4.53,0.00
3.84,3.21,4.01,3.68,3.30,5.20,3.24,6.10,3.68,5.60,0.00
6.26,3.83,3.10,3.73,3.44,7.43,8.24,4.40,6.44,3.43,0.00
3.49,3.07,5.74,5.35,3.08,7.44,7.45,4.10,4.07,6.01,0.00
3.54,2.91,4.86,3.64,3.18,3.70,7.20,6.13,3.69,3.55,1.00
3.29,3.08,3.26,3.90,3.12,7.77,3.09,3.25,3.41,3.49,1.00
8.54,2.96,3.08,3.95,3.11,5.42,7.17,6.94,7.05,3.99,0.00
3.12,3.13,3.18,4.03,3.26,6.87,7.82,4.49,2.85,4.00,1.00
6.48,2.88,3.92,3.71,3.19,7.69,8.27,4.44,6.56,4.32,0.00
4.95,3.16,3.34,4.50,3.28,7.12,11.18,4.73,4.97,6.93,0.00
5.74,3.10,4.53,4.44,3.65,5.49,8.40,5.81,3.73,4.71,0.00
4.84,2.93,3.53,3.54,5.35,5.49,6.84,3.44,3.70,5.30,1.00
4.14,3.13,5.39,4.54,3.10,5.92,6.87,6.50,2.86,4.89,0.00
5.10,3.22,3.59,4.30,3.18,8.53,9.42,5.59,6.07,4.38,1.00
5.99,3.09,6.36,3.75,3.22,5.17,3.08,3.42,3.67,3.61,1.00
3.26,3.19,3.17,3.86,3.26,6.84,3.23,3.18,3.44,3.62,1.00
3.56,3.23,4.54,3.79,3.29,4.00,8.37,4.64,4.72,4.15,0.00
9.86,3.14,3.18,3.55,10.15,5.78,8.46,3.36,3.41,3.38,1.00
7.59,2.87,3.05,4.13,3.13,6.44,7.19,4.72,5.25,3.78,0.00
7.31,3.24,3.11,4.45,5.32,5.41,8.15,5.00,5.60,3.51,0.00
9.49,3.17,4.07,5.24,3.24,6.90,8.48,3.17,3.25,4.02,0.00
3.33,3.19,4.13,3.68,3.24,3.70,2.93,8.30,3.76,4.76,0.00
2.91,3.09,3.94,3.56,3.11,6.63,5.09,5.11,4.49,5.39,0.00
3.75,2.95,3.29,3.75,3.46,5.33,3.07,3.31,3.69,3.68,1.00
3.38,3.02,4.90,3.89,3.86,7.92,5.72,5.84,3.52,5.09,0.00
3.98,2.90,6.56,3.61,3.36,7.56,3.15,3.62,5.83,4.62,1.00
3.16,2.92,2.87,3.72,3.32,5.02,5.97,3.49,5.43,4.32,1.00
3.18,3.00,3.34,3.60,3.35,5.97,2.92,3.32,3.44,4.22,1.00
3.85,2.99,3.29,5.08,3.52,5.91,4.95,3.93,5.14,3.74,0.00
3.51,2.90,3.45,3.99,3.23,5.15,6.92,3.25,3.84,3.82,1.00
5.69,3.15,3.19,4.18,3.11,6.45,6.85,4.70,8.92,3.67,0.00
7.79,6.56,3.19,3.84,3.22,4.76,2.97,6.91,7.99,3.30,0.00
2.96,3.26,3.16,3.77,9.21,3.66,6.21,3.19,3.75,3.70,1.00
