ENSG00000154639,ENSG00000151012,ENSG00000175591,ENSG00000102595,ENSG00000142765,ENSG00000171004,ENSG00000128512,label
3.22,7.09,2.74,3.95,3.16,3.13,3.25,0.00
3.62,6.38,3.13,4.43,5.45,3.34,3.50,0.00
3.88,9.67,2.92,5.28,5.17,5.62,3.52,0.00
2.82,5.35,8.04,4.73,7.24,3.25,3.63,0.00
3.54,7.78,3.63,3.94,4.14,3.04,3.25,0.00
5.75,4.65,3.17,3.91,3.16,6.97,4.25,0.00
3.60,5.18,3.09,3.82,3.16,3.23,3.50,0.00
4.65,7.10,2.76,4.25,3.36,3.15,3.72,0.00
4.15,6.08,2.99,3.08,6.68,3.08,3.97,0.00
3.09,7.16,3.87,3.94,5.88,3.03,3.37,0.00
3.84,9.12,3.83,4.00,3.94,4.26,3.65,1.00
2.85,4.99,3.07,2.80,7.37,3.08,3.49,0.00
4.68,7.07,2.80,3.98,4.78,3.39,3.85,0.00
3.50,7.29,3.01,2.81,8.10,3.12,4.11,0.00
3.90,5.26,2.99,4.20,3.47,3.61,3.86,0.00
5.95,7.55,3.69,5.38,6.50,5.75,3.62,0.00
5.37,4.38,4.21,3.70,6.68,3.48,3.51,0.00
3.02,5.89,3.08,4.02,3.32,5.94,3.40,0.00
5.68,6.45,3.21,4.21,3.27,5.59,4.64,0.00
3.02,5.62,7.53,2.81,4.19,3.19,3.38,0.00
3.14,4.45,3.19,3.21,5.78,3.09,3.32,0.00
3.23,5.11,3.07,3.34,6.22,3.21,3.58,0.00
3.09,7.96,7.90,4.36,5.74,2.97,3.46,0.00
3.26,5.24,2.97,3.87,6.73,3.02,3.48,0.00
7.07,6.79,5.90,4.05,5.66,3.17,3.59,0.00
3.34,9.35,2.81,4.40,3.25,3.17,4.39,0.00
2.85,6.08,6.69,2.95,4.78,3.16,3.22,0.00
3.08,6.33,3.04,4.94,7.52,3.14,3.44,0.00
4.53,6.03,2.91,3.92,3.35,3.82,5.54,0.00
3.20,7.86,2.89,4.90,3.30,3.14,3.38,0.00
3.24,5.33,7.49,4.90,3.21,2.93,3.79,0.00
6.19,7.67,3.66,3.76,6.17,3.83,3.49,0.00
5.00,4.51,2.89,4.46,3.34,6.98,4.27,0.00
2.70,4.76,3.43,3.24,6.48,3.12,3.31,0.00
3.52,7.56,2.94,5.73,3.66,4.90,3.50,0.00
3.04,5.82,7.24,3.81,7.72,3.22,3.35,0.00
3.74,5.78,2.94,5.71,3.25,3.14,3.61,0.00
3.73,7.08,3.44,4.10,3.23,3.09,5.13,0.00
5.40,5.86,2.76,3.59,3.54,5.92,3.71,0.00
6.65,6.22,2.96,4.61,3.99,3.07,3.81,0.00
6.84,5.20,3.06,3.46,3.46,3.52,3.48,0.00
4.66,4.53,5.47,3.53,5.13,6.25,3.71,0.00
6.31,5.08,2.91,3.53,5.02,3.79,3.98,0.00
5.03,4.24,3.25,4.18,3.61,5.94,3.94,0.00
5.68,5.04,3.05,3.15,3.04,3.15,5.00,0.00
5.31,6.00,3.42,3.75,7.08,8.25,5.33,0.00
3.90,6.45,2.90,3.84,3.31,3.28,3.69,0.00
4.08,6.10,3.67,3.12,6.28,3.09,3.34,0.00
3.20,5.89,5.75,2.64,8.67,3.14,4.36,0.00
6.88,5.82,6.51,3.93,5.46,3.46,3.98,1.00
3.13,7.97,3.26,3.25,5.24,3.32,3.51,0.00
2.98,5.55,3.00,2.80,5.44,3.09,3.44,0.00
3.08,6.82,3.21,3.42,4.36,3.08,4.33,0.00
3.15,6.98,3.04,3.52,6.61,3.16,3.51,0.00
3.24,6.04,3.79,4.28,3.42,6.41,3.52,0.00
3.50,6.17,3.11,3.91,3.27,3.16,4.29,0.00
4.55,7.38,2.76,4.65,2.97,3.22,4.14,0.00
3.25,7.59,3.01,4.85,3.00,3.08,3.40,0.00
3.13,6.76,6.63,4.02,8.04,6.80,3.40,0.00
4.06,8.38,2.98,4.64,2.91,3.86,4.43,0.00
5.22,7.46,2.90,3.53,3.31,5.40,3.95,0.00
5.64,8.06,3.08,3.63,4.01,4.64,4.80,0.00
4.24,4.97,3.15,2.86,4.84,3.28,3.52,0.00
3.86,6.78,3.07,4.02,3.27,3.21,4.11,0.00
5.49,6.58,2.85,7.09,3.45,3.98,3.88,0.00
3.01,5.09,8.05,3.40,4.52,3.41,3.48,0.00
3.08,5.07,5.83,4.81,6.08,3.21,3.34,0.00
3.06,5.18,3.02,2.84,4.05,3.05,3.38,0.00
3.14,4.77,3.79,3.90,4.42,3.52,4.39,0.00
5.67,6.14,4.08,3.57,5.97,4.18,5.16,0.00
4.07,4.34,3.30,3.54,3.53,3.37,3.88,0.00
3.05,8.39,3.11,4.35,3.31,3.12,3.71,0.00
3.36,5.93,2.95,4.86,4.54,3.20,3.60,0.00
2.64,6.83,3.38,4.17,3.43,2.99,3.98,0.00
7.32,7.59,4.23,4.42,4.97,2.92,3.30,0.00
2.60,7.55,4.10,4.16,5.77,3.25,3.35,0.00
6.53,5.08,3.12,3.99,3.10,3.17,4.66,0.00
3.64,8.33,3.01,3.71,3.36,3.47,4.15,0.00
5.79,5.93,3.05,4.30,3.32,6.11,3.97,0.00
3.11,7.35,3.08,4.24,4.75,3.09,5.37,0.00
2.98,7.91,2.90,4.83,7.07,3.09,3.59,0.00
5.71,6.65,3.29,3.29,4.81,4.83,3.72,0.00
5.16,5.89,4.87,4.53,7.26,4.40,3.27,1.00
6.85,5.69,5.92,4.85,5.09,6.00,3.43,0.00
3.48,6.40,2.96,2.86,9.03,3.06,3.47,0.00
3.01,5.77,2.90,2.75,6.17,3.12,3.40,0.00
4.78,6.18,3.04,4.26,3.11,3.11,5.40,0.00
3.67,7.40,2.77,3.04,5.82,3.24,3.43,0.00
6.80,7.40,5.05,5.39,4.32,4.67,3.70,0.00
3.59,5.48,3.04,3.79,7.59,3.21,3.54,0.00
5.33,5.93,6.03,4.77,6.46,5.95,3.44,0.00
3.06,4.71,2.96,4.76,2.95,3.49,4.15,0.00
2.86,6.89,3.13,3.34,3.31,3.21,4.93,0.00
