144501_at,22882_at,23283_at,26751_at,27445_at,3487_at,3861_at,55086_at,5644_at,56952_at,5711_at,64073_at,79633_at,84189_at,875_at,label
7.53,8.62,8.62,11.99,5.62,9.09,4.73,5.36,4.39,9.60,8.99,12.67,5.58,11.16,3.85,1.00
5.14,4.21,8.63,9.72,3.66,5.90,3.83,4.23,4.00,11.44,8.80,3.73,4.42,3.85,10.84,1.00
4.09,5.15,8.53,9.26,3.78,6.21,4.06,4.23,3.92,4.32,8.62,4.03,4.02,3.94,5.05,0.00
11.43,8.29,8.02,11.08,8.21,7.76,3.92,8.15,4.45,9.46,9.04,11.07,3.95,7.67,7.15,0.00
6.04,7.40,8.22,8.29,4.28,4.56,3.74,8.01,4.22,9.85,9.01,10.28,5.59,3.95,7.59,1.00
8.98,10.03,8.55,9.58,3.66,4.17,4.38,7.99,4.04,3.94,9.34,8.93,7.16,3.78,7.99,1.00
4.94,8.00,8.10,6.47,3.71,4.00,4.21,7.41,4.40,4.51,8.92,3.99,4.13,4.32,4.46,0.00
4.78,6.90,9.52,7.67,4.80,4.54,3.78,8.40,4.78,9.50,8.44,3.79,6.41,3.89,9.50,0.00
10.48,7.29,8.74,8.65,6.07,5.77,3.73,7.86,4.11,3.72,8.62,3.82,5.35,3.85,7.14,0.00
9.36,7.02,7.74,10.82,5.55,6.77,7.34,6.77,4.61,7.37,8.67,10.90,3.53,8.69,6.98,0.00
10.27,7.60,8.13,11.24,6.38,8.82,3.92,7.07,4.24,7.07,8.92,11.68,4.56,3.99,4.96,0.00
4.92,6.78,8.57,9.17,3.88,5.58,3.72,3.81,3.98,6.75,8.79,5.82,4.58,7.05,6.54,1.00
8.90,11.44,7.06,9.84,4.44,9.94,3.80,3.75,4.16,8.67,9.68,11.43,5.00,3.67,9.40,1.00
7.34,9.53,8.38,5.20,7.04,3.84,13.07,8.77,3.97,11.51,9.22,10.04,4.22,6.31,8.11,1.00
10.00,7.04,8.57,4.92,3.90,4.19,6.41,7.89,4.07,3.50,9.60,10.20,6.46,4.10,4.20,0.00
8.41,6.69,7.95,10.56,5.21,9.36,14.34,7.65,4.13,10.13,9.68,11.04,4.41,7.82,8.13,1.00
7.30,8.95,8.64,10.02,3.80,9.67,4.39,8.07,4.02,4.31,8.91,10.68,4.05,6.67,7.88,0.00
5.84,6.38,8.57,6.92,4.99,6.82,6.96,7.02,4.15,7.93,9.19,9.94,5.30,4.25,8.81,1.00
5.60,7.53,8.49,8.43,6.01,9.53,6.27,8.40,3.90,4.64,8.87,11.62,4.47,5.61,9.09,0.00
5.15,6.97,8.76,4.31,4.12,4.12,4.50,4.03,3.99,3.97,9.61,4.16,4.14,4.09,4.51,0.00
5.95,5.41,8.74,9.73,7.77,9.43,7.98,8.86,4.12,4.72,9.65,4.68,4.29,6.34,6.64,0.00
9.88,7.90,7.16,5.27,4.42,4.67,3.68,7.67,4.05,7.54,9.31,9.87,3.96,3.71,8.01,0.00
5.95,7.93,7.81,12.10,3.81,7.63,4.10,8.01,8.90,11.22,9.00,8.01,4.02,4.04,4.42,0.00
4.44,6.78,8.35,9.59,6.64,8.87,4.32,7.25,3.94,4.72,7.98,3.64,3.45,5.39,5.34,0.00
5.24,9.78,8.65,7.03,3.66,4.54,4.51,8.96,4.50,4.15,8.39,5.23,4.02,3.81,8.16,0.00
9.14,9.59,8.32,10.90,4.05,8.70,3.87,4.02,4.32,6.61,8.83,10.64,4.21,4.65,9.93,0.00
9.79,8.77,8.68,12.15,6.41,7.39,4.05,6.40,4.15,6.94,9.05,11.62,3.75,8.39,7.92,1.00
5.69,8.52,8.20,11.53,5.98,4.95,4.43,7.07,3.90,4.47,10.06,4.28,4.22,5.95,9.96,0.00
5.16,9.04,9.34,10.01,3.81,4.06,3.94,7.85,4.09,7.49,8.66,3.66,3.96,3.80,8.20,1.00
4.83,7.44,8.11,9.64,5.31,7.96,4.48,4.31,3.79,8.96,8.33,3.75,4.36,4.43,9.56,1.00
5.66,5.76,8.20,7.61,3.61,4.20,4.11,3.46,4.29,9.10,9.51,4.85,5.11,4.05,9.63,0.00
5.74,6.38,8.93,8.63,7.23,4.08,4.47,7.56,3.99,5.39,8.98,3.88,4.99,4.13,4.51,0.00
7.72,7.78,7.77,10.93,4.70,3.99,3.77,3.71,4.25,4.21,8.97,7.98,4.95,4.21,10.16,1.00
4.84,7.86,7.71,10.45,3.74,7.52,3.62,5.00,3.58,9.87,8.30,3.36,10.62,6.96,9.94,1.00
5.02,9.62,8.41,9.69,3.76,8.11,4.09,4.05,4.29,3.98,8.05,3.35,3.80,4.02,5.56,0.00
5.09,5.23,8.97,8.97,3.86,4.21,4.24,8.61,4.15,4.18,9.12,3.97,4.04,3.87,8.85,0.00
10.65,6.86,8.71,10.76,4.32,6.67,3.72,4.75,3.90,4.65,9.42,11.28,3.95,3.79,4.22,0.00
10.29,6.73,6.73,11.31,4.50,12.22,6.36,3.81,4.40,4.11,9.77,12.15,6.74,3.95,5.85,0.00
4.91,8.77,9.36,9.83,3.85,4.38,3.74,7.95,3.94,4.35,8.66,3.83,4.18,3.95,7.59,1.00
6.02,8.01,9.53,9.68,3.71,6.40,3.92,4.40,4.15,3.92,8.41,3.88,4.01,4.35,8.11,1.00
9.41,6.94,7.74,7.26,7.79,8.63,4.57,3.92,4.00,6.95,9.29,11.61,5.05,4.25,6.87,0.00
5.24,5.52,8.77,9.62,8.58,4.72,3.98,10.76,4.10,11.29,8.60,4.37,4.07,6.78,7.72,0.00
4.56,5.69,8.73,9.21,7.48,5.90,4.03,9.37,3.96,11.30,8.16,3.68,4.61,3.88,8.10,0.00
9.91,7.14,6.65,11.07,4.70,7.83,4.15,6.30,4.41,8.95,8.48,10.26,3.45,6.27,6.94,0.00
10.27,6.77,6.97,10.11,4.25,8.45,4.19,4.00,4.28,9.51,9.01,12.27,5.62,6.97,8.44,1.00
5.12,8.34,8.55,7.28,9.06,7.55,3.81,3.67,3.80,11.72,8.57,3.88,5.10,3.74,8.69,0.00
5.86,4.49,8.68,7.81,5.14,6.05,4.46,5.36,3.99,10.45,8.96,4.07,7.68,3.95,9.42,1.00
9.57,7.13,8.27,5.56,4.45,8.83,4.00,5.81,4.25,10.74,8.84,10.69,5.18,4.45,7.95,0.00
10.75,7.87,8.44,11.12,6.00,9.33,4.04,4.15,4.20,9.04,8.97,12.23,4.29,4.98,9.19,1.00
