10553_at,10628_at,10966_at,130576_at,132720_at,1525_at,154796_at,157285_at,163081_at,2172_at,2706_at,290_at,29968_at,3880_at,3936_at,4237_at,4316_at,4846_at,4998_at,5243_at,5746_at,6502_at,7306_at,79710_at,8460_at,84617_at,84740_at,8612_at,91607_at,91851_at,label
10.64,9.06,8.29,4.40,8.96,7.19,8.19,10.14,7.97,4.08,6.82,3.76,10.38,13.95,4.92,4.75,10.31,4.37,6.51,8.49,4.04,5.84,4.11,9.91,6.45,10.65,3.82,8.02,3.83,4.31,0.00
7.51,11.23,7.07,9.93,8.17,9.88,10.12,8.12,8.75,4.91,4.61,4.09,11.74,11.71,5.87,8.41,10.59,4.21,6.39,6.75,9.75,6.61,7.59,7.57,8.19,12.17,3.89,6.67,4.09,4.69,0.00
9.21,9.17,8.45,7.57,8.66,4.91,6.82,9.53,7.96,4.39,6.10,5.90,9.59,11.41,8.25,7.94,6.30,4.43,7.19,3.60,7.75,6.12,5.53,7.25,7.61,12.83,7.67,8.02,6.86,5.09,0.00
8.89,11.49,4.80,4.42,9.13,7.06,7.60,6.01,7.53,4.40,3.89,4.23,11.77,5.16,13.19,4.99,4.22,4.08,6.21,3.91,4.33,6.73,4.04,4.40,7.20,11.29,4.30,3.94,8.21,4.32,1.00
10.31,9.83,10.74,8.02,8.62,9.58,9.10,9.43,8.49,10.44,10.79,3.83,10.16,11.37,4.99,5.83,3.97,7.22,7.41,3.91,4.18,6.11,3.69,8.22,6.38,6.09,9.73,5.36,8.59,4.27,1.00
9.18,12.54,7.70,7.52,7.96,6.55,8.28,9.02,7.97,7.07,7.59,3.61,11.90,12.88,9.03,6.26,10.02,4.18,5.34,7.84,4.09,4.40,4.16,7.80,6.02,11.58,4.00,7.54,3.67,8.29,0.00
7.92,12.34,8.14,4.41,8.24,7.95,7.00,9.45,8.21,7.58,4.25,3.97,12.40,11.78,9.37,10.29,12.65,5.91,4.95,3.62,8.60,4.83,3.76,7.57,7.00,11.50,4.86,8.46,3.82,4.31,0.00
8.54,12.26,8.63,4.53,6.06,4.41,7.65,10.52,7.51,5.36,4.03,3.64,10.92,14.25,5.41,10.91,4.59,4.07,6.24,4.35,4.08,6.65,3.90,7.28,7.76,12.53,4.05,8.88,3.88,4.75,0.00
7.27,9.19,9.21,4.89,10.57,4.21,6.78,8.24,8.74,4.24,7.22,7.62,9.64,3.84,12.67,6.39,4.23,4.13,8.41,4.00,6.64,7.93,3.61,6.13,4.93,7.89,4.64,4.48,9.78,4.43,1.00
9.59,10.76,8.73,4.41,5.16,7.93,9.37,6.30,9.11,4.29,4.20,3.89,11.68,4.01,9.72,4.78,4.17,4.32,6.68,4.02,4.32,6.90,4.66,6.96,8.19,12.13,3.82,6.53,3.71,8.73,0.00
8.03,4.72,6.50,4.71,8.69,8.55,10.55,6.73,8.37,4.71,4.39,10.30,10.65,4.92,6.62,9.52,3.99,3.87,7.41,3.72,4.20,7.73,4.80,9.30,7.64,12.67,3.86,7.47,8.74,7.25,1.00
6.29,12.41,7.27,4.61,10.06,4.43,6.39,6.77,7.75,4.93,4.01,9.92,11.31,4.21,10.75,5.24,4.09,6.58,8.11,6.16,8.03,7.40,3.59,5.53,7.41,9.80,9.02,4.12,4.74,4.18,1.00
